12:17:38 : DEBUG | Received self id : e3ace6a3d3
12:17:38 : DEBUG | Spawning player with id : e3ace6a3d3 which is self
12:17:38 : DEBUG | In component 'PlayerShooterIM': Ref named 'gameManager': has missing value or not found
12:17:38 : DEBUG | In component 'PlayerManager': Ref named 'manager': has missing value or not found
12:17:38 : DEBUG | In component 'PlayerManager': Ref named 'networker': has missing value or not found
12:17:38 : DEBUG | In component 'PlayerManager': Ref named 'Score': has missing value or not found
12:17:38 : DEBUG | In component 'PlayerManager': Ref named 'Lifes': has missing value or not found
12:17:38 : DEBUG | In component 'PlayerMoverIM': Ref named 'gameManager': has missing value or not found
12:17:42 : DEBUG | Spawning player with id : e3ace6a3d3 which is self
12:17:42 : DEBUG | In component 'PlayerShooterIM': Ref named 'gameManager': has missing value or not found
12:17:42 : DEBUG | In component 'PlayerManager': Ref named 'manager': has missing value or not found
12:17:42 : DEBUG | In component 'PlayerManager': Ref named 'networker': has missing value or not found
12:17:42 : DEBUG | In component 'PlayerManager': Ref named 'Score': has missing value or not found
12:17:42 : DEBUG | In component 'PlayerManager': Ref named 'Lifes': has missing value or not found
12:17:42 : DEBUG | In component 'PlayerMoverIM': Ref named 'gameManager': has missing value or not found
12:17:43 : DEBUG | In component 'MobNM': Ref named 'manager': has missing value or not found
12:17:43 : DEBUG | Spawning mob with id : 70620a66b4
12:17:47 : DEBUG | Player e3ace6a3d3 requesting to move to direction 3
12:17:47 : DEBUG | Player e3ace6a3d3 requesting to move to direction 3
12:17:47 : DEBUG | Player e3ace6a3d3 requesting to move to direction 3
12:17:47 : DEBUG | Player e3ace6a3d3 move to 0, 0
12:17:47 : DEBUG | Player e3ace6a3d3 requesting to move to direction 3
12:17:47 : DEBUG | Player e3ace6a3d3 requesting to move to direction 3
12:17:47 : DEBUG | Player e3ace6a3d3 move to 0, 0
12:17:47 : DEBUG | Player e3ace6a3d3 requesting to move to direction 3
12:17:47 : DEBUG | Player e3ace6a3d3 requesting to move to direction 3
12:17:47 : DEBUG | Player e3ace6a3d3 move to 0, 0
12:17:47 : DEBUG | Player e3ace6a3d3 requesting to move to direction 3
12:17:47 : DEBUG | Player e3ace6a3d3 requesting to move to direction 3
12:17:47 : DEBUG | Player e3ace6a3d3 move to 0, 0
12:17:47 : DEBUG | Player e3ace6a3d3 requesting to move to direction 3
12:17:47 : DEBUG | Player e3ace6a3d3 requesting to move to direction 3
12:17:47 : DEBUG | Player e3ace6a3d3 move to 0, 0
12:17:47 : DEBUG | Player e3ace6a3d3 requesting to move to direction 3
12:17:47 : DEBUG | Player e3ace6a3d3 requesting to move to direction 3
12:17:47 : DEBUG | Player e3ace6a3d3 move to 0, 0
12:17:47 : DEBUG | Player e3ace6a3d3 requesting to move to direction 3
12:17:47 : DEBUG | Player e3ace6a3d3 requesting to move to direction 3
12:17:47 : DEBUG | Player e3ace6a3d3 move to 0, 0
12:17:47 : DEBUG | Player e3ace6a3d3 requesting to move to direction 3
12:17:47 : DEBUG | Player e3ace6a3d3 requesting to move to direction 3
12:17:47 : DEBUG | Player e3ace6a3d3 move to 0, 0
12:17:47 : DEBUG | Player e3ace6a3d3 requesting to move to direction 3
12:17:47 : DEBUG | Player e3ace6a3d3 requesting to move to direction 3
12:17:47 : DEBUG | Player e3ace6a3d3 move to 0, 0
12:17:47 : DEBUG | Player e3ace6a3d3 requesting to move to direction 3
12:17:47 : DEBUG | Player e3ace6a3d3 requesting to move to direction 3
12:17:47 : DEBUG | Player e3ace6a3d3 move to 0, 0
12:17:47 : DEBUG | Player e3ace6a3d3 requesting to move to direction 3
12:17:47 : DEBUG | Player e3ace6a3d3 requesting to move to direction 3
12:17:47 : DEBUG | Player e3ace6a3d3 move to 0, 0
12:17:47 : DEBUG | Player e3ace6a3d3 requesting to move to direction 3
12:17:47 : DEBUG | Player e3ace6a3d3 requesting to move to direction 3
12:17:47 : DEBUG | Player e3ace6a3d3 move to 0, 0
12:17:47 : DEBUG | Player e3ace6a3d3 requesting to move to direction 3
12:17:47 : DEBUG | Player e3ace6a3d3 requesting to move to direction 3
12:17:47 : DEBUG | Player e3ace6a3d3 move to 0, 0
12:17:47 : DEBUG | Player e3ace6a3d3 requesting to move to direction 3
12:17:47 : DEBUG | Player e3ace6a3d3 requesting to move to direction 3
12:17:47 : DEBUG | Player e3ace6a3d3 move to 0, 0
12:17:47 : DEBUG | Player e3ace6a3d3 requesting to move to direction 3
12:17:47 : DEBUG | Player e3ace6a3d3 requesting to move to direction 3
12:17:47 : DEBUG | Player e3ace6a3d3 move to 0, 0
12:17:47 : DEBUG | Player e3ace6a3d3 requesting to move to direction 3
12:17:47 : DEBUG | Player e3ace6a3d3 requesting to move to direction 3
12:17:47 : DEBUG | Player e3ace6a3d3 move to 0, 0
12:17:47 : DEBUG | Player e3ace6a3d3 requesting to move to direction 3
12:17:47 : DEBUG | Player e3ace6a3d3 requesting to move to direction 3
12:17:47 : DEBUG | Player e3ace6a3d3 move to 0, 0
12:17:47 : DEBUG | Player e3ace6a3d3 requesting to move to direction 3
12:17:47 : DEBUG | Player e3ace6a3d3 requesting to move to direction 3
12:17:47 : DEBUG | Player e3ace6a3d3 move to 0, 0
12:17:47 : DEBUG | Player e3ace6a3d3 requesting to move to direction 3
12:17:47 : DEBUG | Player e3ace6a3d3 requesting to move to direction 3
12:17:47 : DEBUG | Player e3ace6a3d3 move to 0, 0
12:17:47 : DEBUG | Player e3ace6a3d3 requesting to move to direction 3
12:17:47 : DEBUG | Player e3ace6a3d3 requesting to move to direction 3
12:17:47 : DEBUG | Player e3ace6a3d3 move to 0, 0
12:17:47 : DEBUG | Player e3ace6a3d3 requesting to move to direction 3
12:17:47 : DEBUG | Player e3ace6a3d3 requesting to move to direction 3
12:17:47 : DEBUG | Player e3ace6a3d3 move to 0, 0
12:17:47 : DEBUG | Player e3ace6a3d3 requesting to move to direction 3
12:17:47 : DEBUG | Player e3ace6a3d3 requesting to move to direction 3
12:17:47 : DEBUG | Player e3ace6a3d3 move to 0, 0
12:17:47 : DEBUG | Player e3ace6a3d3 requesting to move to direction 3
12:17:47 : DEBUG | Player e3ace6a3d3 requesting to move to direction 3
12:17:47 : DEBUG | Player e3ace6a3d3 move to 0, 0
12:17:47 : DEBUG | Player e3ace6a3d3 requesting to move to direction 3
12:17:47 : DEBUG | Player e3ace6a3d3 requesting to move to direction 3
12:17:47 : DEBUG | Player e3ace6a3d3 move to 0, 0
12:17:47 : DEBUG | Player e3ace6a3d3 requesting to move to direction 3
12:17:47 : DEBUG | Player e3ace6a3d3 requesting to move to direction 3
12:17:47 : DEBUG | Player e3ace6a3d3 move to 0, 0
12:17:47 : DEBUG | Player e3ace6a3d3 requesting to move to direction 3
12:17:47 : DEBUG | Player e3ace6a3d3 requesting to move to direction 3
12:17:47 : DEBUG | Player e3ace6a3d3 move to 0, 0
12:17:47 : DEBUG | Player e3ace6a3d3 requesting to move to direction 3
12:17:47 : DEBUG | Player e3ace6a3d3 requesting to move to direction 3
12:17:47 : DEBUG | Player e3ace6a3d3 move to 0, 0
12:17:47 : DEBUG | Player e3ace6a3d3 requesting to move to direction 3
12:17:47 : DEBUG | Player e3ace6a3d3 requesting to move to direction 3
12:17:47 : DEBUG | Player e3ace6a3d3 move to 0, 0
12:17:47 : DEBUG | Player e3ace6a3d3 requesting to move to direction 3
12:17:47 : DEBUG | Player e3ace6a3d3 requesting to move to direction 3
12:17:47 : DEBUG | Player e3ace6a3d3 move to 0, 0
12:17:47 : DEBUG | Player e3ace6a3d3 requesting to move to direction 3
12:17:47 : DEBUG | Player e3ace6a3d3 requesting to move to direction 3
12:17:47 : DEBUG | Player e3ace6a3d3 move to 0, 0
12:17:47 : DEBUG | Player e3ace6a3d3 requesting to move to direction 3
12:17:47 : DEBUG | Player e3ace6a3d3 requesting to move to direction 3
12:17:47 : DEBUG | Player e3ace6a3d3 move to 0, 0
12:17:47 : DEBUG | Player e3ace6a3d3 requesting to move to direction 3
12:17:47 : DEBUG | Player e3ace6a3d3 requesting to move to direction 3
12:17:47 : DEBUG | Player e3ace6a3d3 move to 0, 0
12:17:47 : DEBUG | Player e3ace6a3d3 requesting to move to direction 3
12:17:47 : DEBUG | Player e3ace6a3d3 requesting to move to direction 3
12:17:47 : DEBUG | Player e3ace6a3d3 move to 0, 0
12:17:47 : DEBUG | Player e3ace6a3d3 requesting to move to direction 3
12:17:47 : DEBUG | Player e3ace6a3d3 requesting to move to direction 3
12:17:47 : DEBUG | Player e3ace6a3d3 move to 0, 0
12:17:47 : DEBUG | Player e3ace6a3d3 requesting to move to direction 3
12:17:47 : DEBUG | Player e3ace6a3d3 requesting to move to direction 3
12:17:47 : DEBUG | Player e3ace6a3d3 move to 0, 0
12:17:47 : DEBUG | Player e3ace6a3d3 requesting to move to direction 3
12:17:47 : DEBUG | Player e3ace6a3d3 requesting to move to direction 3
12:17:47 : DEBUG | Player e3ace6a3d3 move to 0, 0
12:17:47 : DEBUG | Player e3ace6a3d3 requesting to move to direction 3
12:17:47 : DEBUG | Player e3ace6a3d3 requesting to move to direction 3
12:17:47 : DEBUG | Player e3ace6a3d3 move to 0, 0
12:17:47 : DEBUG | Player e3ace6a3d3 requesting to move to direction 3
12:17:47 : DEBUG | Player e3ace6a3d3 requesting to move to direction 3
12:17:47 : DEBUG | Player e3ace6a3d3 move to 1, 0
12:17:47 : DEBUG | Player e3ace6a3d3 requesting to move to direction 3
12:17:47 : DEBUG | Player e3ace6a3d3 requesting to move to direction 3
