12:27:12 : DEBUG | Received self id : bb0a15ecda
12:27:12 : DEBUG | Spawning player with id : bb0a15ecda which is self
12:27:12 : DEBUG | In component 'PlayerShooterIM': Ref named 'gameManager': has missing value or not found
12:27:12 : DEBUG | In component 'PlayerManager': Ref named 'manager': has missing value or not found
12:27:12 : DEBUG | In component 'PlayerManager': Ref named 'networker': has missing value or not found
12:27:12 : DEBUG | In component 'PlayerManager': Ref named 'Score': has missing value or not found
12:27:12 : DEBUG | In component 'PlayerManager': Ref named 'Lifes': has missing value or not found
12:27:12 : DEBUG | In component 'PlayerMoverIM': Ref named 'gameManager': has missing value or not found
12:27:16 : DEBUG | Spawning player with id : bb0a15ecda which is self
12:27:16 : DEBUG | In component 'PlayerShooterIM': Ref named 'gameManager': has missing value or not found
12:27:16 : DEBUG | In component 'PlayerManager': Ref named 'manager': has missing value or not found
12:27:16 : DEBUG | In component 'PlayerManager': Ref named 'networker': has missing value or not found
12:27:16 : DEBUG | In component 'PlayerManager': Ref named 'Score': has missing value or not found
12:27:16 : DEBUG | In component 'PlayerManager': Ref named 'Lifes': has missing value or not found
12:27:16 : DEBUG | In component 'PlayerMoverIM': Ref named 'gameManager': has missing value or not found
12:27:17 : DEBUG | In component 'MobNM': Ref named 'manager': has missing value or not found
12:27:17 : DEBUG | Spawning mob with id : 362daaec72
12:27:21 : DEBUG | In component 'MobNM': Ref named 'manager': has missing value or not found
12:27:21 : DEBUG | Spawning mob with id : 362daaec72
12:27:22 : DEBUG | Player bb0a15ecda requesting to move to direction 3
12:27:22 : DEBUG | Player bb0a15ecda requesting to move to direction 3
12:27:22 : DEBUG | Player bb0a15ecda requesting to move to direction 3
12:27:22 : DEBUG | Player bb0a15ecda move to 0, 0
12:27:22 : DEBUG | Player bb0a15ecda requesting to move to direction 3
12:27:22 : DEBUG | Player bb0a15ecda requesting to move to direction 3
12:27:22 : DEBUG | Player bb0a15ecda move to 0, 0
12:27:22 : DEBUG | Player bb0a15ecda requesting to move to direction 3
12:27:22 : DEBUG | Player bb0a15ecda requesting to move to direction 3
12:27:22 : DEBUG | Player bb0a15ecda move to 0, 0
12:27:22 : DEBUG | Player bb0a15ecda requesting to move to direction 3
12:27:22 : DEBUG | Player bb0a15ecda requesting to move to direction 3
12:27:22 : DEBUG | Player bb0a15ecda move to 0, 0
12:27:22 : DEBUG | Player bb0a15ecda requesting to move to direction 3
12:27:22 : DEBUG | Player bb0a15ecda requesting to move to direction 3
