12:29:10 : DEBUG | Received self id : 1508e09fed
12:29:10 : DEBUG | Spawning player with id : 1508e09fed which is self
12:29:10 : DEBUG | In component 'PlayerShooterIM': Ref named 'gameManager': has missing value or not found
12:29:10 : DEBUG | In component 'PlayerManager': Ref named 'manager': has missing value or not found
12:29:10 : DEBUG | In component 'PlayerManager': Ref named 'networker': has missing value or not found
12:29:10 : DEBUG | In component 'PlayerManager': Ref named 'Score': has missing value or not found
12:29:10 : DEBUG | In component 'PlayerManager': Ref named 'Lifes': has missing value or not found
12:29:10 : DEBUG | In component 'PlayerMoverIM': Ref named 'gameManager': has missing value or not found
12:29:14 : DEBUG | Spawning player with id : 1508e09fed which is self
12:29:14 : DEBUG | In component 'PlayerShooterIM': Ref named 'gameManager': has missing value or not found
12:29:14 : DEBUG | In component 'PlayerManager': Ref named 'manager': has missing value or not found
12:29:14 : DEBUG | In component 'PlayerManager': Ref named 'networker': has missing value or not found
12:29:14 : DEBUG | In component 'PlayerManager': Ref named 'Score': has missing value or not found
12:29:14 : DEBUG | In component 'PlayerManager': Ref named 'Lifes': has missing value or not found
12:29:14 : DEBUG | In component 'PlayerMoverIM': Ref named 'gameManager': has missing value or not found
12:29:15 : DEBUG | In component 'MobNM': Ref named 'manager': has missing value or not found
12:29:15 : DEBUG | Spawning mob with id : f37056ec80
12:29:19 : DEBUG | In component 'MobNM': Ref named 'manager': has missing value or not found
12:29:19 : DEBUG | Spawning mob with id : f37056ec80
12:29:20 : DEBUG | Player 1508e09fed requesting to move to direction 3
12:29:20 : DEBUG | Player 1508e09fed requesting to move to direction 3
12:29:20 : DEBUG | Player 1508e09fed requesting to move to direction 3
12:29:20 : DEBUG | Player 1508e09fed requesting to move to direction 3
12:29:20 : DEBUG | Player 1508e09fed requesting to move to direction 3
12:29:20 : DEBUG | Player 1508e09fed requesting to move to direction 3
12:29:20 : DEBUG | Player 1508e09fed requesting to move to direction 3
12:29:20 : DEBUG | Player 1508e09fed move to 1, 0
12:29:20 : DEBUG | Player 1508e09fed requesting to move to direction 3
12:29:20 : DEBUG | Player 1508e09fed requesting to move to direction 3
12:29:20 : DEBUG | Player 1508e09fed move to 1, 0
12:29:20 : DEBUG | Player 1508e09fed requesting to move to direction 3
12:29:20 : DEBUG | Player 1508e09fed requesting to move to direction 3
12:29:20 : DEBUG | Player 1508e09fed move to 1, 0
12:29:20 : DEBUG | Player 1508e09fed requesting to move to direction 3
12:29:20 : DEBUG | Player 1508e09fed requesting to move to direction 3
12:29:20 : DEBUG | Player 1508e09fed move to 1, 0
12:29:20 : DEBUG | Player 1508e09fed requesting to move to direction 3
12:29:20 : DEBUG | Player 1508e09fed requesting to move to direction 3
12:29:20 : DEBUG | Player 1508e09fed move to 1, 0
12:29:20 : DEBUG | Player 1508e09fed requesting to move to direction 3
12:29:20 : DEBUG | Player 1508e09fed requesting to move to direction 3
12:29:20 : DEBUG | Player 1508e09fed move to 1, 0
12:29:20 : DEBUG | Player 1508e09fed requesting to move to direction 3
12:29:20 : DEBUG | Player 1508e09fed requesting to move to direction 3
12:29:20 : DEBUG | Player 1508e09fed move to 1, 0
12:29:20 : DEBUG | Player 1508e09fed requesting to move to direction 3
12:29:20 : DEBUG | Player 1508e09fed requesting to move to direction 3
12:29:20 : DEBUG | Player 1508e09fed move to 1, 0
12:29:20 : DEBUG | Player 1508e09fed requesting to move to direction 3
12:29:20 : DEBUG | Player 1508e09fed requesting to move to direction 3
12:29:20 : DEBUG | Player 1508e09fed move to 1, 0
12:29:20 : DEBUG | Player 1508e09fed requesting to move to direction 3
12:29:20 : DEBUG | Player 1508e09fed requesting to move to direction 3
12:29:20 : DEBUG | Player 1508e09fed move to 2, 0
12:29:20 : DEBUG | Player 1508e09fed requesting to move to direction 3
12:29:20 : DEBUG | Player 1508e09fed requesting to move to direction 3
12:29:20 : DEBUG | Player 1508e09fed move to 2, 0
