12:53:56 : DEBUG | Received self id : 3d0ff38617
12:53:56 : DEBUG | Spawning player with id : 3d0ff38617 which is self
12:53:56 : DEBUG | In component 'PlayerShooterIM': Ref named 'gameManager': has missing value or not found
12:53:56 : DEBUG | In component 'PlayerManager': Ref named 'manager': has missing value or not found
12:53:56 : DEBUG | In component 'PlayerManager': Ref named 'networker': has missing value or not found
12:53:56 : DEBUG | In component 'PlayerManager': Ref named 'Score': has missing value or not found
12:53:56 : DEBUG | In component 'PlayerManager': Ref named 'Lifes': has missing value or not found
12:53:56 : DEBUG | In component 'PlayerMoverIM': Ref named 'gameManager': has missing value or not found
12:53:57 : DEBUG | Player 3d0ff38617 requesting to move to direction 3
12:53:57 : DEBUG | Player 3d0ff38617 requesting to move to direction 3
12:53:57 : DEBUG | Player 3d0ff38617 move to 200, 500
12:53:57 : DEBUG | [CAST] Player 3d0ff38617 move to 200.000000, 500.000000
12:53:57 : DEBUG | Player 3d0ff38617 requesting to move to direction 3
12:53:57 : DEBUG | Player 3d0ff38617 move to 200, 500
12:53:57 : DEBUG | [CAST] Player 3d0ff38617 move to 200.000000, 500.000000
12:53:57 : DEBUG | Player 3d0ff38617 requesting to move to direction 3
12:53:57 : DEBUG | Player 3d0ff38617 move to 200, 500
12:53:57 : DEBUG | [CAST] Player 3d0ff38617 move to 200.000000, 500.000000
12:53:57 : DEBUG | Player 3d0ff38617 requesting to move to direction 3
12:53:57 : DEBUG | Player 3d0ff38617 move to 200, 500
12:53:57 : DEBUG | [CAST] Player 3d0ff38617 move to 200.000000, 500.000000
12:53:57 : DEBUG | Player 3d0ff38617 requesting to move to direction 3
12:53:57 : DEBUG | Player 3d0ff38617 move to 200, 500
12:53:57 : DEBUG | [CAST] Player 3d0ff38617 move to 200.000000, 500.000000
12:53:57 : DEBUG | Player 3d0ff38617 requesting to move to direction 3
12:53:57 : DEBUG | Player 3d0ff38617 move to 200, 500
12:53:57 : DEBUG | [CAST] Player 3d0ff38617 move to 200.000000, 500.000000
12:53:57 : DEBUG | Player 3d0ff38617 requesting to move to direction 3
12:53:57 : DEBUG | Player 3d0ff38617 move to 200, 500
12:53:57 : DEBUG | [CAST] Player 3d0ff38617 move to 200.000000, 500.000000
12:53:57 : DEBUG | Player 3d0ff38617 requesting to move to direction 3
12:53:57 : DEBUG | Player 3d0ff38617 move to 200, 500
12:53:57 : DEBUG | [CAST] Player 3d0ff38617 move to 200.000000, 500.000000
12:53:57 : DEBUG | Player 3d0ff38617 requesting to move to direction 3
12:53:57 : DEBUG | Player 3d0ff38617 move to 200, 500
12:53:57 : DEBUG | [CAST] Player 3d0ff38617 move to 200.000000, 500.000000
12:53:57 : DEBUG | Player 3d0ff38617 requesting to move to direction 3
12:53:57 : DEBUG | Player 3d0ff38617 move to 200, 500
12:53:57 : DEBUG | [CAST] Player 3d0ff38617 move to 200.000000, 500.000000
12:53:57 : DEBUG | Player 3d0ff38617 requesting to move to direction 3
12:53:57 : DEBUG | Player 3d0ff38617 move to 200, 500
12:53:57 : DEBUG | [CAST] Player 3d0ff38617 move to 200.000000, 500.000000
12:53:57 : DEBUG | Player 3d0ff38617 requesting to move to direction 3
12:53:57 : DEBUG | Player 3d0ff38617 move to 200, 500
12:53:57 : DEBUG | [CAST] Player 3d0ff38617 move to 200.000000, 500.000000
12:53:57 : DEBUG | Player 3d0ff38617 requesting to move to direction 3
12:53:57 : DEBUG | Player 3d0ff38617 move to 200, 500
12:53:57 : DEBUG | [CAST] Player 3d0ff38617 move to 200.000000, 500.000000
12:53:57 : DEBUG | Player 3d0ff38617 requesting to move to direction 3
12:53:57 : DEBUG | Player 3d0ff38617 move to 200, 500
12:53:57 : DEBUG | [CAST] Player 3d0ff38617 move to 200.000000, 500.000000
12:53:57 : DEBUG | Player 3d0ff38617 requesting to move to direction 3
12:53:57 : DEBUG | Player 3d0ff38617 move to 200, 500
12:53:57 : DEBUG | [CAST] Player 3d0ff38617 move to 200.000000, 500.000000
12:53:57 : DEBUG | Player 3d0ff38617 requesting to move to direction 3
12:53:57 : DEBUG | Player 3d0ff38617 move to 200, 500
12:53:57 : DEBUG | [CAST] Player 3d0ff38617 move to 200.000000, 500.000000
12:53:57 : DEBUG | Player 3d0ff38617 requesting to move to direction 3
12:53:57 : DEBUG | Player 3d0ff38617 move to 200, 500
12:53:57 : DEBUG | [CAST] Player 3d0ff38617 move to 200.000000, 500.000000
12:53:57 : DEBUG | Player 3d0ff38617 requesting to move to direction 3
12:53:57 : DEBUG | Player 3d0ff38617 move to 200, 500
12:53:57 : DEBUG | [CAST] Player 3d0ff38617 move to 200.000000, 500.000000
12:53:57 : DEBUG | Player 3d0ff38617 requesting to move to direction 3
12:53:57 : DEBUG | Player 3d0ff38617 move to 200, 500
12:53:57 : DEBUG | [CAST] Player 3d0ff38617 move to 200.000000, 500.000000
12:53:57 : DEBUG | Player 3d0ff38617 requesting to move to direction 3
12:53:57 : DEBUG | Player 3d0ff38617 move to 200, 500
