15:50:32 : DEBUG | Received self id : 8d87b3b6c3
15:50:32 : DEBUG | Spawning player with id : 8d87b3b6c3 which is self
15:50:32 : DEBUG | In component 'PlayerShooterIM': Ref named 'gameManager': has missing value or not found
15:50:32 : DEBUG | In component 'PlayerManager': Ref named 'manager': has missing value or not found
15:50:32 : DEBUG | In component 'PlayerManager': Ref named 'networker': has missing value or not found
15:50:32 : DEBUG | In component 'PlayerManager': Ref named 'Score': has missing value or not found
15:50:32 : DEBUG | In component 'PlayerManager': Ref named 'Lifes': has missing value or not found
15:50:32 : DEBUG | In component 'PlayerMoverIM': Ref named 'gameManager': has missing value or not found
15:50:33 : DEBUG | Player 8d87b3b6c3 requesting to move to direction 3
15:50:33 : DEBUG | Player 8d87b3b6c3 requesting to move to direction 3
15:50:33 : DEBUG | Player 8d87b3b6c3 requesting to move to direction 3
15:50:33 : DEBUG | Player 8d87b3b6c3 requesting to move to direction 3
15:50:33 : DEBUG | Player 8d87b3b6c3 requesting to move to direction 3
15:50:33 : DEBUG | Player 8d87b3b6c3 requesting to move to direction 3
15:50:33 : DEBUG | Player 8d87b3b6c3 requesting to move to direction 3
15:50:33 : DEBUG | Player 8d87b3b6c3 requesting to move to direction 3
15:50:33 : DEBUG | Player 8d87b3b6c3 requesting to move to direction 3
15:50:33 : DEBUG | Player 8d87b3b6c3 requesting to move to direction 3
15:50:33 : DEBUG | Player 8d87b3b6c3 requesting to move to direction 3
15:50:33 : DEBUG | Player 8d87b3b6c3 requesting to move to direction 3
15:50:33 : DEBUG | Player 8d87b3b6c3 requesting to move to direction 3
15:50:33 : DEBUG | Player 8d87b3b6c3 requesting to move to direction 3
15:50:33 : DEBUG | Player 8d87b3b6c3 requesting to move to direction 3
15:50:33 : DEBUG | Player 8d87b3b6c3 requesting to move to direction 3
15:50:33 : DEBUG | Player 8d87b3b6c3 requesting to move to direction 3
15:50:33 : DEBUG | Player 8d87b3b6c3 requesting to move to direction 3
15:50:33 : DEBUG | Player 8d87b3b6c3 requesting to move to direction 3
15:50:33 : DEBUG | Player 8d87b3b6c3 requesting to move to direction 3
15:50:33 : DEBUG | Player 8d87b3b6c3 requesting to move to direction 3
15:50:33 : DEBUG | Player 8d87b3b6c3 requesting to move to direction 3
