15:55:27 : DEBUG | Received self id : b237bc749c
15:55:27 : DEBUG | Spawning player with id : b237bc749c which is self
15:55:27 : DEBUG | In component 'PlayerShooterIM': Ref named 'gameManager': has missing value or not found
15:55:27 : DEBUG | In component 'PlayerManager': Ref named 'manager': has missing value or not found
15:55:27 : DEBUG | In component 'PlayerManager': Ref named 'networker': has missing value or not found
15:55:27 : DEBUG | In component 'PlayerManager': Ref named 'Score': has missing value or not found
15:55:27 : DEBUG | In component 'PlayerManager': Ref named 'Lifes': has missing value or not found
15:55:27 : DEBUG | In component 'PlayerMoverIM': Ref named 'gameManager': has missing value or not found
15:55:32 : DEBUG | In component 'MobNM': Ref named 'manager': has missing value or not found
15:55:32 : DEBUG | Spawning mob with id : 18566bf531
15:55:37 : DEBUG | Player b237bc749c requesting to move to direction 4
15:55:37 : DEBUG | Player b237bc749c requesting to move to direction 4
15:55:37 : DEBUG | Player b237bc749c requesting to move to direction 4
15:55:37 : DEBUG | Player b237bc749c requesting to move to direction 4
15:55:37 : DEBUG | Player b237bc749c requesting to move to direction 4
15:55:37 : DEBUG | Player b237bc749c requesting to move to direction 4
15:55:37 : DEBUG | Player b237bc749c requesting to move to direction 4
15:55:37 : DEBUG | Player b237bc749c requesting to move to direction 4
15:55:37 : DEBUG | Player b237bc749c requesting to move to direction 4
15:55:37 : DEBUG | Player b237bc749c requesting to move to direction 4
15:55:37 : DEBUG | Player b237bc749c requesting to move to direction 4
15:55:37 : DEBUG | Player b237bc749c requesting to move to direction 4
15:55:37 : DEBUG | Player b237bc749c requesting to move to direction 4
15:55:37 : DEBUG | Player b237bc749c requesting to move to direction 4
15:55:37 : DEBUG | Player b237bc749c requesting to move to direction 4
15:55:37 : DEBUG | Player b237bc749c requesting to move to direction 4
15:55:37 : DEBUG | Player b237bc749c requesting to move to direction 4
15:55:37 : DEBUG | Player b237bc749c requesting to move to direction 4
15:55:37 : DEBUG | Player b237bc749c requesting to move to direction 4
15:55:37 : DEBUG | Player b237bc749c requesting to move to direction 4
15:55:37 : DEBUG | Player b237bc749c requesting to move to direction 4
15:55:37 : DEBUG | Player b237bc749c requesting to move to direction 4
15:55:37 : DEBUG | Player b237bc749c requesting to move to direction 4
15:55:37 : DEBUG | Player b237bc749c requesting to move to direction 4
15:55:37 : DEBUG | Player b237bc749c requesting to move to direction 4
15:55:37 : DEBUG | Player b237bc749c requesting to move to direction 4
15:55:37 : DEBUG | Player b237bc749c requesting to move to direction 4
15:55:37 : DEBUG | Player b237bc749c requesting to move to direction 4
15:55:37 : DEBUG | Player b237bc749c requesting to move to direction 4
15:55:37 : DEBUG | Player b237bc749c requesting to move to direction 4
15:55:37 : DEBUG | Player b237bc749c requesting to move to direction 4
15:55:37 : DEBUG | Player b237bc749c requesting to move to direction 4
15:55:37 : DEBUG | Player b237bc749c requesting to move to direction 4
15:55:37 : DEBUG | Player b237bc749c requesting to move to direction 4
15:55:37 : DEBUG | Player b237bc749c requesting to move to direction 4
15:55:37 : DEBUG | Player b237bc749c requesting to move to direction 4
15:55:37 : DEBUG | Player b237bc749c requesting to move to direction 4
15:55:37 : DEBUG | Player b237bc749c requesting to move to direction 4
15:55:37 : DEBUG | Player b237bc749c requesting to move to direction 4
15:55:37 : DEBUG | Player b237bc749c requesting to move to direction 4
15:55:37 : DEBUG | Player b237bc749c requesting to move to direction 4
15:55:37 : DEBUG | Player b237bc749c requesting to move to direction 4
15:55:37 : DEBUG | Player b237bc749c requesting to move to direction 4
15:55:37 : DEBUG | Player b237bc749c requesting to move to direction 4
15:55:37 : DEBUG | Player b237bc749c requesting to move to direction 4
15:55:37 : DEBUG | Player b237bc749c requesting to move to direction 4
15:55:37 : DEBUG | Player b237bc749c requesting to move to direction 4
15:55:37 : DEBUG | Player b237bc749c requesting to move to direction 4
15:55:37 : DEBUG | Player b237bc749c requesting to move to direction 4
15:55:37 : DEBUG | Player b237bc749c requesting to move to direction 4
15:55:37 : DEBUG | Player b237bc749c requesting to move to direction 4
15:55:37 : DEBUG | Player b237bc749c requesting to move to direction 4
15:55:37 : DEBUG | Player b237bc749c requesting to move to direction 4
15:55:37 : DEBUG | Player b237bc749c requesting to move to direction 4
15:55:37 : DEBUG | Player b237bc749c requesting to move to direction 4
