15:56:47 : DEBUG | Received self id : 01efbc9e00
15:56:47 : DEBUG | Spawning player with id : 01efbc9e00 which is self
15:56:47 : DEBUG | In component 'PlayerShooterIM': Ref named 'gameManager': has missing value or not found
15:56:47 : DEBUG | In component 'PlayerManager': Ref named 'manager': has missing value or not found
15:56:47 : DEBUG | In component 'PlayerManager': Ref named 'networker': has missing value or not found
15:56:47 : DEBUG | In component 'PlayerManager': Ref named 'Score': has missing value or not found
15:56:47 : DEBUG | In component 'PlayerManager': Ref named 'Lifes': has missing value or not found
15:56:47 : DEBUG | In component 'PlayerMoverIM': Ref named 'gameManager': has missing value or not found
15:56:49 : DEBUG | Player 01efbc9e00 requesting to move to direction 4
15:56:49 : DEBUG | Player 01efbc9e00 requesting to move to direction 4
15:56:49 : DEBUG | Player 01efbc9e00 requesting to move to direction 4
15:56:49 : DEBUG | Player 01efbc9e00 requesting to move to direction 4
15:56:49 : DEBUG | Player 01efbc9e00 requesting to move to direction 4
15:56:49 : DEBUG | Player 01efbc9e00 requesting to move to direction 4
15:56:49 : DEBUG | Player 01efbc9e00 requesting to move to direction 4
15:56:49 : DEBUG | Player 01efbc9e00 requesting to move to direction 4
15:56:49 : DEBUG | Player 01efbc9e00 requesting to move to direction 4
15:56:49 : DEBUG | Player 01efbc9e00 requesting to move to direction 4
15:56:49 : DEBUG | Player 01efbc9e00 requesting to move to direction 4
15:56:49 : DEBUG | Player 01efbc9e00 requesting to move to direction 4
15:56:49 : DEBUG | Player 01efbc9e00 requesting to move to direction 4
15:56:49 : DEBUG | Player 01efbc9e00 requesting to move to direction 4
15:56:49 : DEBUG | Player 01efbc9e00 requesting to move to direction 4
15:56:49 : DEBUG | Player 01efbc9e00 requesting to move to direction 4
15:56:49 : DEBUG | Player 01efbc9e00 requesting to move to direction 4
15:56:49 : DEBUG | Player 01efbc9e00 requesting to move to direction 4
15:56:49 : DEBUG | Player 01efbc9e00 requesting to move to direction 4
15:56:49 : DEBUG | Player 01efbc9e00 requesting to move to direction 4
15:56:49 : DEBUG | Player 01efbc9e00 requesting to move to direction 4
15:56:49 : DEBUG | Player 01efbc9e00 requesting to move to direction 4
15:56:49 : DEBUG | Player 01efbc9e00 requesting to move to direction 4
15:56:49 : DEBUG | Player 01efbc9e00 requesting to move to direction 4
15:56:49 : DEBUG | Player 01efbc9e00 requesting to move to direction 4
15:56:49 : DEBUG | Player 01efbc9e00 requesting to move to direction 4
15:56:49 : DEBUG | Player 01efbc9e00 requesting to move to direction 4
15:56:49 : DEBUG | Player 01efbc9e00 requesting to move to direction 4
15:56:49 : DEBUG | Player 01efbc9e00 requesting to move to direction 4
15:56:49 : DEBUG | Player 01efbc9e00 requesting to move to direction 4
15:56:49 : DEBUG | Player 01efbc9e00 requesting to move to direction 4
15:56:49 : DEBUG | Player 01efbc9e00 requesting to move to direction 4
15:56:49 : DEBUG | Player 01efbc9e00 requesting to move to direction 4
15:56:49 : DEBUG | Player 01efbc9e00 requesting to move to direction 4
15:56:49 : DEBUG | Player 01efbc9e00 requesting to move to direction 4
15:56:49 : DEBUG | Player 01efbc9e00 requesting to move to direction 4
15:56:49 : DEBUG | Player 01efbc9e00 requesting to move to direction 4
15:56:49 : DEBUG | Player 01efbc9e00 requesting to move to direction 4
15:56:49 : DEBUG | Player 01efbc9e00 requesting to move to direction 4
15:56:49 : DEBUG | Player 01efbc9e00 requesting to move to direction 4
15:56:49 : DEBUG | Player 01efbc9e00 requesting to move to direction 4
