16:02:18 : DEBUG | Received self id : ef337133a8
16:02:18 : DEBUG | Spawning player with id : ef337133a8 which is self
16:02:18 : DEBUG | In component 'PlayerShooterIM': Ref named 'gameManager': has missing value or not found
16:02:18 : DEBUG | In component 'PlayerManager': Ref named 'manager': has missing value or not found
16:02:18 : DEBUG | In component 'PlayerManager': Ref named 'networker': has missing value or not found
16:02:18 : DEBUG | In component 'PlayerManager': Ref named 'Score': has missing value or not found
16:02:18 : DEBUG | In component 'PlayerManager': Ref named 'Lifes': has missing value or not found
16:02:18 : DEBUG | In component 'PlayerMoverIM': Ref named 'gameManager': has missing value or not found
16:02:23 : DEBUG | In component 'MobNM': Ref named 'manager': has missing value or not found
16:02:23 : DEBUG | Spawning mob with id : e397ea1022
16:02:35 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 1
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 1
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 1
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 1
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 1
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 1
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 1
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 1
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 1
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 1
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 1
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 1
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 1
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 1
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 1
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 1
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 1
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 1
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 1
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 1
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 1
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 1
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 1
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 1
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 1
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 1
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 1
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 1
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 1
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 1
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 1
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 1
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 1
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 1
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 1
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 1
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 1
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 1
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 1
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 1
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 1
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 1
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 1
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 1
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 1
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 1
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 1
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 1
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 1
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 1
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 1
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 1
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 1
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 1
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 1
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 1
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 1
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 1
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 1
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 1
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 1
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 1
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 1
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 1
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 1
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 1
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 1
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 1
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 1
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 1
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 1
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 1
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 1
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 1
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 1
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 1
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 1
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 1
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 1
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 1
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 1
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 1
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:36 : DEBUG | Player ef337133a8 requesting to move to direction 4
