16:04:15 : DEBUG | Received self id : 7c0c203b65
16:04:15 : DEBUG | Spawning player with id : 7c0c203b65 which is self
16:04:15 : DEBUG | In component 'PlayerShooterIM': Ref named 'gameManager': has missing value or not found
16:04:15 : DEBUG | In component 'PlayerManager': Ref named 'manager': has missing value or not found
16:04:15 : DEBUG | In component 'PlayerManager': Ref named 'networker': has missing value or not found
16:04:15 : DEBUG | In component 'PlayerManager': Ref named 'Score': has missing value or not found
16:04:15 : DEBUG | In component 'PlayerManager': Ref named 'Lifes': has missing value or not found
16:04:15 : DEBUG | In component 'PlayerMoverIM': Ref named 'gameManager': has missing value or not found
16:04:16 : DEBUG | Player 7c0c203b65 requesting to move to direction 3
16:04:16 : DEBUG | Player 7c0c203b65 requesting to move to direction 3
16:04:16 : DEBUG | Player 7c0c203b65 requesting to move to direction 3
16:04:16 : DEBUG | Player 7c0c203b65 requesting to move to direction 3
16:04:16 : DEBUG | Player 7c0c203b65 requesting to move to direction 3
16:04:16 : DEBUG | Player 7c0c203b65 requesting to move to direction 3
16:04:16 : DEBUG | Player 7c0c203b65 requesting to move to direction 3
16:04:16 : DEBUG | Player 7c0c203b65 requesting to move to direction 3
16:04:16 : DEBUG | Player 7c0c203b65 requesting to move to direction 3
16:04:16 : DEBUG | Player 7c0c203b65 requesting to move to direction 3
16:04:16 : DEBUG | Player 7c0c203b65 requesting to move to direction 3
16:04:16 : DEBUG | Player 7c0c203b65 requesting to move to direction 3
16:04:16 : DEBUG | Player 7c0c203b65 requesting to move to direction 3
16:04:16 : DEBUG | Player 7c0c203b65 requesting to move to direction 3
16:04:16 : DEBUG | Player 7c0c203b65 requesting to move to direction 3
16:04:16 : DEBUG | Player 7c0c203b65 requesting to move to direction 3
16:04:16 : DEBUG | Player 7c0c203b65 requesting to move to direction 3
16:04:16 : DEBUG | Player 7c0c203b65 requesting to move to direction 3
16:04:16 : DEBUG | Player 7c0c203b65 requesting to move to direction 3
16:04:16 : DEBUG | Player 7c0c203b65 requesting to move to direction 3
16:04:16 : DEBUG | Player 7c0c203b65 requesting to move to direction 3
16:04:16 : DEBUG | Player 7c0c203b65 requesting to move to direction 3
16:04:16 : DEBUG | Player 7c0c203b65 requesting to move to direction 3
16:04:16 : DEBUG | Player 7c0c203b65 requesting to move to direction 3
16:04:16 : DEBUG | Player 7c0c203b65 requesting to move to direction 3
16:04:16 : DEBUG | Player 7c0c203b65 requesting to move to direction 3
16:04:16 : DEBUG | Player 7c0c203b65 requesting to move to direction 3
16:04:16 : DEBUG | Player 7c0c203b65 requesting to move to direction 3
16:04:16 : DEBUG | Player 7c0c203b65 requesting to move to direction 3
16:04:16 : DEBUG | Player 7c0c203b65 requesting to move to direction 3
16:04:16 : DEBUG | Player 7c0c203b65 requesting to move to direction 3
16:04:16 : DEBUG | Player 7c0c203b65 requesting to move to direction 3
16:04:16 : DEBUG | Player 7c0c203b65 requesting to move to direction 3
16:04:16 : DEBUG | Player 7c0c203b65 requesting to move to direction 3
16:04:16 : DEBUG | Player 7c0c203b65 requesting to move to direction 3
16:04:16 : DEBUG | Player 7c0c203b65 requesting to move to direction 3
16:04:16 : DEBUG | Player 7c0c203b65 requesting to move to direction 3
16:04:16 : DEBUG | Player 7c0c203b65 requesting to move to direction 3
16:04:16 : DEBUG | Player 7c0c203b65 requesting to move to direction 3
16:04:16 : DEBUG | Player 7c0c203b65 requesting to move to direction 3
16:04:16 : DEBUG | Player 7c0c203b65 requesting to move to direction 3
16:04:16 : DEBUG | Player 7c0c203b65 requesting to move to direction 3
16:04:16 : DEBUG | Player 7c0c203b65 requesting to move to direction 3
16:04:16 : DEBUG | Player 7c0c203b65 requesting to move to direction 3
16:04:16 : DEBUG | Player 7c0c203b65 requesting to move to direction 3
16:04:16 : DEBUG | Player 7c0c203b65 requesting to move to direction 3
16:04:16 : DEBUG | Player 7c0c203b65 requesting to move to direction 3
16:04:16 : DEBUG | Player 7c0c203b65 requesting to move to direction 3
16:04:16 : DEBUG | Player 7c0c203b65 requesting to move to direction 3
16:04:16 : DEBUG | Player 7c0c203b65 requesting to move to direction 3
16:04:16 : DEBUG | Player 7c0c203b65 requesting to move to direction 3
16:04:16 : DEBUG | Player 7c0c203b65 requesting to move to direction 3
16:04:16 : DEBUG | Player 7c0c203b65 requesting to move to direction 3
16:04:16 : DEBUG | Player 7c0c203b65 requesting to move to direction 3
16:04:16 : DEBUG | Player 7c0c203b65 requesting to move to direction 3
16:04:16 : DEBUG | Player 7c0c203b65 requesting to move to direction 3
16:04:16 : DEBUG | Player 7c0c203b65 requesting to move to direction 3
16:04:16 : DEBUG | Player 7c0c203b65 requesting to move to direction 3
16:04:16 : DEBUG | Player 7c0c203b65 requesting to move to direction 3
16:04:16 : DEBUG | Player 7c0c203b65 requesting to move to direction 3
