16:20:58 : INFO | FPS: 431, deltatime: 0.002318
16:20:58 : INFO | FPS: 1289, deltatime: 0.000775
16:20:58 : INFO | FPS: 90, deltatime: 0.011109
16:20:58 : DEBUG | Received self id : 04fa5f0cd4
16:20:58 : DEBUG | Spawning player with id : 04fa5f0cd4 which is self
16:20:58 : DEBUG | In component 'PlayerShooterIM': Ref named 'gameManager': has missing value or not found
16:20:58 : DEBUG | In component 'PlayerManager': Ref named 'manager': has missing value or not found
16:20:58 : DEBUG | In component 'PlayerManager': Ref named 'networker': has missing value or not found
16:20:58 : DEBUG | In component 'PlayerManager': Ref named 'Score': has missing value or not found
16:20:58 : DEBUG | In component 'PlayerManager': Ref named 'Lifes': has missing value or not found
16:20:58 : DEBUG | In component 'PlayerMoverIM': Ref named 'gameManager': has missing value or not found
16:20:58 : INFO | FPS: 174, deltatime: 0.005722
16:20:58 : INFO | FPS: 1312, deltatime: 0.000762
16:20:58 : INFO | FPS: 514, deltatime: 0.001943
16:20:58 : INFO | FPS: 130, deltatime: 0.007680
16:20:58 : INFO | FPS: 1810, deltatime: 0.000552
16:20:58 : INFO | FPS: 455, deltatime: 0.002194
16:20:58 : INFO | FPS: 391, deltatime: 0.002553
16:20:58 : INFO | FPS: 1167, deltatime: 0.000857
16:20:58 : INFO | FPS: 366, deltatime: 0.002727
16:20:58 : INFO | FPS: 359, deltatime: 0.002779
16:20:58 : INFO | FPS: 381, deltatime: 0.002622
16:20:58 : INFO | FPS: 728, deltatime: 0.001372
16:20:58 : INFO | FPS: 605, deltatime: 0.001652
16:20:58 : INFO | FPS: 520, deltatime: 0.001920
16:20:58 : INFO | FPS: 561, deltatime: 0.001781
16:20:58 : INFO | FPS: 505, deltatime: 0.001977
16:20:58 : INFO | FPS: 563, deltatime: 0.001774
16:20:58 : INFO | FPS: 218, deltatime: 0.004584
16:20:58 : INFO | FPS: 516, deltatime: 0.001938
16:20:58 : INFO | FPS: 501, deltatime: 0.001994
16:20:58 : INFO | FPS: 523, deltatime: 0.001911
16:20:58 : INFO | FPS: 503, deltatime: 0.001988
16:20:58 : INFO | FPS: 562, deltatime: 0.001776
16:20:58 : INFO | FPS: 550, deltatime: 0.001815
16:20:58 : INFO | FPS: 242, deltatime: 0.004116
16:20:58 : INFO | FPS: 548, deltatime: 0.001825
16:20:58 : INFO | FPS: 532, deltatime: 0.001880
16:20:58 : INFO | FPS: 574, deltatime: 0.001742
16:20:58 : INFO | FPS: 597, deltatime: 0.001672
16:20:58 : INFO | FPS: 561, deltatime: 0.001782
16:20:58 : INFO | FPS: 433, deltatime: 0.002309
16:20:58 : INFO | FPS: 398, deltatime: 0.002509
16:20:58 : INFO | FPS: 655, deltatime: 0.001527
16:20:58 : INFO | FPS: 592, deltatime: 0.001687
16:20:58 : INFO | FPS: 572, deltatime: 0.001746
16:20:58 : INFO | FPS: 495, deltatime: 0.002018
16:20:58 : INFO | FPS: 748, deltatime: 0.001335
16:20:58 : INFO | FPS: 370, deltatime: 0.002697
16:20:58 : INFO | FPS: 1506, deltatime: 0.000664
16:20:58 : INFO | FPS: 403, deltatime: 0.002478
16:20:58 : INFO | FPS: 369, deltatime: 0.002703
16:20:58 : INFO | FPS: 606, deltatime: 0.001650
16:20:58 : INFO | FPS: 568, deltatime: 0.001758
16:20:58 : INFO | FPS: 640, deltatime: 0.001560
16:20:58 : INFO | FPS: 609, deltatime: 0.001640
16:20:58 : INFO | FPS: 613, deltatime: 0.001631
16:20:58 : INFO | FPS: 563, deltatime: 0.001775
16:20:58 : INFO | FPS: 617, deltatime: 0.001618
16:20:58 : INFO | FPS: 621, deltatime: 0.001610
16:20:58 : INFO | FPS: 311, deltatime: 0.003213
16:20:58 : INFO | FPS: 574, deltatime: 0.001740
16:20:58 : INFO | FPS: 634, deltatime: 0.001575
16:20:58 : INFO | FPS: 563, deltatime: 0.001775
16:20:58 : INFO | FPS: 619, deltatime: 0.001613
16:20:58 : INFO | FPS: 648, deltatime: 0.001542
16:20:58 : INFO | FPS: 588, deltatime: 0.001700
16:20:58 : INFO | FPS: 584, deltatime: 0.001710
16:20:58 : INFO | FPS: 605, deltatime: 0.001652
16:20:58 : INFO | FPS: 585, deltatime: 0.001707
16:20:58 : INFO | FPS: 312, deltatime: 0.003202
16:20:58 : INFO | FPS: 544, deltatime: 0.001837
16:20:58 : INFO | FPS: 536, deltatime: 0.001864
16:20:58 : INFO | FPS: 543, deltatime: 0.001841
16:20:58 : INFO | FPS: 486, deltatime: 0.002056
16:20:58 : INFO | FPS: 457, deltatime: 0.002187
16:20:58 : INFO | FPS: 463, deltatime: 0.002155
16:20:58 : INFO | FPS: 1349, deltatime: 0.000741
16:20:58 : INFO | FPS: 326, deltatime: 0.003063
16:20:58 : INFO | FPS: 285, deltatime: 0.003505
16:20:58 : INFO | FPS: 572, deltatime: 0.001746
16:20:58 : INFO | FPS: 106, deltatime: 0.009384
16:20:58 : INFO | FPS: 134, deltatime: 0.007440
16:20:58 : INFO | FPS: 606, deltatime: 0.001650
16:20:58 : INFO | FPS: 524, deltatime: 0.001906
16:20:58 : INFO | FPS: 513, deltatime: 0.001948
16:20:58 : INFO | FPS: 538, deltatime: 0.001858
16:20:58 : INFO | FPS: 571, deltatime: 0.001750
16:20:58 : INFO | FPS: 255, deltatime: 0.003918
16:20:58 : INFO | FPS: 534, deltatime: 0.001873
16:20:58 : INFO | FPS: 547, deltatime: 0.001827
16:20:58 : INFO | FPS: 573, deltatime: 0.001743
16:20:58 : INFO | FPS: 581, deltatime: 0.001718
16:20:58 : INFO | FPS: 566, deltatime: 0.001766
16:20:58 : INFO | FPS: 556, deltatime: 0.001795
16:20:58 : INFO | FPS: 567, deltatime: 0.001761
16:20:58 : INFO | FPS: 596, deltatime: 0.001675
16:20:58 : INFO | FPS: 287, deltatime: 0.003479
16:20:58 : INFO | FPS: 443, deltatime: 0.002256
16:20:58 : INFO | FPS: 495, deltatime: 0.002017
16:20:58 : INFO | FPS: 507, deltatime: 0.001969
16:20:58 : INFO | FPS: 560, deltatime: 0.001784
16:20:58 : INFO | FPS: 581, deltatime: 0.001720
16:20:58 : INFO | FPS: 574, deltatime: 0.001741
16:20:58 : INFO | FPS: 259, deltatime: 0.003852
16:20:58 : INFO | FPS: 629, deltatime: 0.001588
16:20:58 : INFO | FPS: 609, deltatime: 0.001641
16:20:58 : INFO | FPS: 646, deltatime: 0.001547
16:20:58 : INFO | FPS: 640, deltatime: 0.001560
16:20:58 : INFO | FPS: 613, deltatime: 0.001630
16:20:58 : INFO | FPS: 596, deltatime: 0.001677
16:20:58 : INFO | FPS: 586, deltatime: 0.001705
16:20:58 : INFO | FPS: 612, deltatime: 0.001633
16:20:58 : INFO | FPS: 334, deltatime: 0.002987
16:20:58 : INFO | FPS: 604, deltatime: 0.001655
16:20:58 : INFO | FPS: 631, deltatime: 0.001584
16:20:58 : INFO | FPS: 677, deltatime: 0.001476
16:20:58 : INFO | FPS: 629, deltatime: 0.001589
16:20:58 : INFO | FPS: 612, deltatime: 0.001633
16:20:58 : INFO | FPS: 643, deltatime: 0.001554
16:20:58 : INFO | FPS: 540, deltatime: 0.001852
16:20:58 : INFO | FPS: 585, deltatime: 0.001708
16:20:58 : INFO | FPS: 318, deltatime: 0.003141
16:20:58 : INFO | FPS: 637, deltatime: 0.001568
16:20:58 : INFO | FPS: 615, deltatime: 0.001624
16:20:58 : INFO | FPS: 625, deltatime: 0.001599
16:20:58 : INFO | FPS: 597, deltatime: 0.001674
16:20:58 : INFO | FPS: 557, deltatime: 0.001795
16:20:58 : INFO | FPS: 573, deltatime: 0.001743
16:20:58 : INFO | FPS: 600, deltatime: 0.001665
16:20:58 : INFO | FPS: 579, deltatime: 0.001726
16:20:58 : INFO | FPS: 315, deltatime: 0.003167
16:20:58 : INFO | FPS: 624, deltatime: 0.001600
16:20:58 : INFO | FPS: 561, deltatime: 0.001780
16:20:58 : INFO | FPS: 644, deltatime: 0.001552
16:20:58 : INFO | FPS: 638, deltatime: 0.001566
16:20:58 : INFO | FPS: 560, deltatime: 0.001783
16:20:58 : INFO | FPS: 579, deltatime: 0.001725
16:20:58 : INFO | FPS: 624, deltatime: 0.001600
16:20:58 : INFO | FPS: 612, deltatime: 0.001633
16:20:58 : INFO | FPS: 312, deltatime: 0.003198
16:20:58 : INFO | FPS: 575, deltatime: 0.001738
16:20:58 : INFO | FPS: 539, deltatime: 0.001855
16:20:58 : INFO | FPS: 522, deltatime: 0.001914
16:20:58 : INFO | FPS: 496, deltatime: 0.002012
16:20:58 : INFO | FPS: 530, deltatime: 0.001885
16:20:58 : INFO | FPS: 526, deltatime: 0.001899
16:20:58 : INFO | FPS: 583, deltatime: 0.001715
16:20:58 : INFO | FPS: 571, deltatime: 0.001749
16:20:58 : INFO | FPS: 278, deltatime: 0.003595
16:20:58 : INFO | FPS: 547, deltatime: 0.001828
16:20:58 : INFO | FPS: 547, deltatime: 0.001826
16:20:58 : INFO | FPS: 606, deltatime: 0.001650
16:20:58 : INFO | FPS: 569, deltatime: 0.001756
16:20:58 : INFO | FPS: 598, deltatime: 0.001672
16:20:58 : INFO | FPS: 535, deltatime: 0.001868
16:20:58 : INFO | FPS: 595, deltatime: 0.001680
16:20:58 : INFO | FPS: 301, deltatime: 0.003317
16:20:58 : INFO | FPS: 890, deltatime: 0.001123
16:20:58 : INFO | FPS: 523, deltatime: 0.001911
16:20:58 : INFO | FPS: 550, deltatime: 0.001816
16:20:58 : INFO | FPS: 549, deltatime: 0.001821
16:20:58 : INFO | FPS: 544, deltatime: 0.001836
16:20:58 : INFO | FPS: 556, deltatime: 0.001796
16:20:58 : INFO | FPS: 526, deltatime: 0.001898
16:20:58 : INFO | FPS: 560, deltatime: 0.001784
16:20:58 : INFO | FPS: 257, deltatime: 0.003885
16:20:58 : INFO | FPS: 235, deltatime: 0.004240
16:20:58 : INFO | FPS: 688, deltatime: 0.001453
16:20:58 : INFO | FPS: 184, deltatime: 0.005432
16:20:58 : INFO | FPS: 854, deltatime: 0.001171
16:20:58 : INFO | FPS: 75, deltatime: 0.013208
16:20:58 : INFO | FPS: 486, deltatime: 0.002057
16:20:58 : INFO | FPS: 135, deltatime: 0.007401
16:20:58 : INFO | FPS: 62, deltatime: 0.016000
16:20:58 : INFO | FPS: 1012, deltatime: 0.000988
16:20:58 : INFO | FPS: 127, deltatime: 0.007848
16:20:58 : INFO | FPS: 62, deltatime: 0.016000
16:20:58 : INFO | FPS: 138, deltatime: 0.007241
16:20:58 : INFO | FPS: 195, deltatime: 0.005127
16:20:58 : INFO | FPS: 202, deltatime: 0.004948
16:20:58 : INFO | FPS: 171, deltatime: 0.005819
16:20:58 : INFO | FPS: 326, deltatime: 0.003064
16:20:58 : INFO | FPS: 186, deltatime: 0.005369
16:20:58 : INFO | FPS: 523, deltatime: 0.001911
16:20:58 : INFO | FPS: 489, deltatime: 0.002041
16:20:58 : INFO | FPS: 1657, deltatime: 0.000603
16:20:58 : INFO | FPS: 369, deltatime: 0.002709
16:20:58 : INFO | FPS: 542, deltatime: 0.001843
16:20:58 : INFO | FPS: 524, deltatime: 0.001907
16:20:58 : INFO | FPS: 570, deltatime: 0.001754
16:20:58 : INFO | FPS: 550, deltatime: 0.001816
16:20:58 : INFO | FPS: 1597, deltatime: 0.000626
16:20:58 : INFO | FPS: 356, deltatime: 0.002809
16:20:58 : INFO | FPS: 556, deltatime: 0.001798
16:20:58 : INFO | FPS: 212, deltatime: 0.004707
16:20:58 : INFO | FPS: 458, deltatime: 0.002181
16:20:58 : INFO | FPS: 579, deltatime: 0.001727
16:20:58 : INFO | FPS: 1743, deltatime: 0.000573
16:20:58 : INFO | FPS: 325, deltatime: 0.003070
16:20:58 : INFO | FPS: 586, deltatime: 0.001706
16:20:58 : INFO | FPS: 306, deltatime: 0.003266
16:20:58 : INFO | FPS: 225, deltatime: 0.004440
16:20:58 : INFO | FPS: 529, deltatime: 0.001889
16:20:58 : INFO | FPS: 533, deltatime: 0.001876
16:20:58 : INFO | FPS: 416, deltatime: 0.002402
16:20:58 : INFO | FPS: 755, deltatime: 0.001323
16:20:58 : INFO | FPS: 541, deltatime: 0.001848
16:20:58 : INFO | FPS: 507, deltatime: 0.001971
16:20:58 : INFO | FPS: 623, deltatime: 0.001605
16:20:58 : INFO | FPS: 194, deltatime: 0.005150
16:20:58 : INFO | FPS: 541, deltatime: 0.001847
16:20:58 : INFO | FPS: 428, deltatime: 0.002333
16:20:58 : INFO | FPS: 1449, deltatime: 0.000690
16:20:58 : INFO | FPS: 368, deltatime: 0.002716
16:20:58 : INFO | FPS: 545, deltatime: 0.001832
16:20:58 : INFO | FPS: 219, deltatime: 0.004551
16:20:58 : INFO | FPS: 526, deltatime: 0.001901
16:20:58 : INFO | FPS: 486, deltatime: 0.002057
16:20:58 : INFO | FPS: 537, deltatime: 0.001862
16:20:58 : INFO | FPS: 498, deltatime: 0.002005
16:20:58 : INFO | FPS: 305, deltatime: 0.003268
16:20:58 : INFO | FPS: 491, deltatime: 0.002033
16:20:58 : INFO | FPS: 118, deltatime: 0.008473
16:20:58 : INFO | FPS: 438, deltatime: 0.002280
16:20:58 : INFO | FPS: 1218, deltatime: 0.000821
16:20:58 : INFO | FPS: 310, deltatime: 0.003225
16:20:58 : INFO | FPS: 107, deltatime: 0.009328
16:20:58 : INFO | FPS: 311, deltatime: 0.003211
16:20:58 : INFO | FPS: 309, deltatime: 0.003236
16:20:58 : INFO | FPS: 187, deltatime: 0.005345
16:20:58 : INFO | FPS: 233, deltatime: 0.004287
16:20:58 : INFO | FPS: 404, deltatime: 0.002473
16:20:58 : INFO | FPS: 159, deltatime: 0.006277
16:20:58 : INFO | FPS: 1117, deltatime: 0.000895
16:20:58 : INFO | FPS: 161, deltatime: 0.006189
16:20:58 : INFO | FPS: 114, deltatime: 0.008721
16:20:58 : INFO | FPS: 95, deltatime: 0.010418
16:20:58 : INFO | FPS: 122, deltatime: 0.008192
16:20:58 : INFO | FPS: 84, deltatime: 0.011765
16:20:58 : INFO | FPS: 761, deltatime: 0.001314
16:20:58 : INFO | FPS: 153, deltatime: 0.006533
16:20:58 : INFO | FPS: 150, deltatime: 0.006665
16:20:58 : INFO | FPS: 552, deltatime: 0.001811
16:20:58 : INFO | FPS: 532, deltatime: 0.001879
16:20:58 : INFO | FPS: 533, deltatime: 0.001874
16:20:58 : INFO | FPS: 550, deltatime: 0.001815
16:20:58 : INFO | FPS: 183, deltatime: 0.005453
16:20:58 : INFO | FPS: 775, deltatime: 0.001289
16:20:58 : INFO | FPS: 473, deltatime: 0.002112
16:20:58 : INFO | FPS: 541, deltatime: 0.001845
16:20:58 : INFO | FPS: 528, deltatime: 0.001893
16:20:58 : INFO | FPS: 1254, deltatime: 0.000797
16:20:58 : INFO | FPS: 252, deltatime: 0.003959
16:20:58 : INFO | FPS: 189, deltatime: 0.005287
16:20:58 : INFO | FPS: 573, deltatime: 0.001744
16:20:58 : INFO | FPS: 536, deltatime: 0.001863
16:20:58 : INFO | FPS: 544, deltatime: 0.001836
16:20:58 : INFO | FPS: 1826, deltatime: 0.000547
16:20:58 : INFO | FPS: 323, deltatime: 0.003093
16:20:58 : INFO | FPS: 545, deltatime: 0.001832
16:20:58 : INFO | FPS: 212, deltatime: 0.004699
16:20:58 : INFO | FPS: 508, deltatime: 0.001965
16:20:58 : INFO | FPS: 543, deltatime: 0.001840
16:20:58 : INFO | FPS: 532, deltatime: 0.001879
16:20:58 : INFO | FPS: 546, deltatime: 0.001828
16:20:58 : INFO | FPS: 553, deltatime: 0.001806
16:20:58 : INFO | FPS: 561, deltatime: 0.001780
16:20:58 : INFO | FPS: 194, deltatime: 0.005152
16:20:58 : INFO | FPS: 749, deltatime: 0.001334
16:20:58 : INFO | FPS: 512, deltatime: 0.001952
16:20:58 : INFO | FPS: 529, deltatime: 0.001890
16:20:58 : INFO | FPS: 528, deltatime: 0.001891
16:20:58 : INFO | FPS: 563, deltatime: 0.001776
16:20:58 : INFO | FPS: 401, deltatime: 0.002488
16:20:58 : INFO | FPS: 853, deltatime: 0.001171
16:20:58 : INFO | FPS: 186, deltatime: 0.005373
16:20:58 : INFO | FPS: 652, deltatime: 0.001532
16:20:58 : INFO | FPS: 566, deltatime: 0.001767
16:20:58 : INFO | FPS: 538, deltatime: 0.001856
16:20:58 : INFO | FPS: 1968, deltatime: 0.000508
16:20:58 : INFO | FPS: 330, deltatime: 0.003029
16:20:58 : INFO | FPS: 165, deltatime: 0.006052
16:20:58 : INFO | FPS: 3100, deltatime: 0.000323
16:20:59 : INFO | FPS: 493, deltatime: 0.002028
16:20:59 : INFO | FPS: 276, deltatime: 0.003613
16:20:59 : INFO | FPS: 642, deltatime: 0.001556
16:20:59 : INFO | FPS: 1531, deltatime: 0.000653
16:20:59 : INFO | FPS: 1275, deltatime: 0.000784
16:20:59 : INFO | FPS: 336, deltatime: 0.002971
16:20:59 : INFO | FPS: 510, deltatime: 0.001958
16:20:59 : INFO | FPS: 328, deltatime: 0.003048
16:20:59 : INFO | FPS: 1398, deltatime: 0.000715
16:20:59 : INFO | FPS: 505, deltatime: 0.001977
16:20:59 : INFO | FPS: 579, deltatime: 0.001726
16:20:59 : INFO | FPS: 544, deltatime: 0.001835
16:20:59 : INFO | FPS: 179, deltatime: 0.005566
16:20:59 : INFO | FPS: 3657, deltatime: 0.000273
16:20:59 : INFO | FPS: 649, deltatime: 0.001540
16:20:59 : INFO | FPS: 560, deltatime: 0.001783
16:20:59 : INFO | FPS: 77, deltatime: 0.012956
16:20:59 : INFO | FPS: 2292, deltatime: 0.000436
16:20:59 : INFO | FPS: 333, deltatime: 0.003002
16:20:59 : INFO | FPS: 77, deltatime: 0.012890
16:20:59 : INFO | FPS: 100, deltatime: 0.009955
16:20:59 : INFO | FPS: 100, deltatime: 0.009922
16:20:59 : INFO | FPS: 105, deltatime: 0.009494
16:20:59 : INFO | FPS: 73, deltatime: 0.013658
16:20:59 : INFO | FPS: 202, deltatime: 0.004942
16:20:59 : INFO | FPS: 175, deltatime: 0.005698
16:20:59 : INFO | FPS: 543, deltatime: 0.001841
16:20:59 : INFO | FPS: 223, deltatime: 0.004477
16:20:59 : INFO | FPS: 312, deltatime: 0.003202
16:20:59 : INFO | FPS: 1137, deltatime: 0.000879
16:20:59 : INFO | FPS: 387, deltatime: 0.002582
16:20:59 : INFO | FPS: 529, deltatime: 0.001887
16:20:59 : INFO | FPS: 530, deltatime: 0.001884
16:20:59 : INFO | FPS: 560, deltatime: 0.001785
16:20:59 : INFO | FPS: 551, deltatime: 0.001812
16:20:59 : INFO | FPS: 179, deltatime: 0.005586
16:20:59 : INFO | FPS: 502, deltatime: 0.001989
16:20:59 : INFO | FPS: 559, deltatime: 0.001786
16:20:59 : INFO | FPS: 554, deltatime: 0.001802
16:20:59 : INFO | FPS: 532, deltatime: 0.001879
16:20:59 : INFO | FPS: 536, deltatime: 0.001866
16:20:59 : INFO | FPS: 618, deltatime: 0.001616
16:20:59 : INFO | FPS: 203, deltatime: 0.004908
