16:52:40 : DEBUG | Received self id : 599b44d3f2
16:52:40 : DEBUG | Spawning player with id : 5febfbcb9f
16:52:40 : DEBUG | In component 'PlayerManager': Ref named 'manager': has missing value or not found
16:52:40 : DEBUG | In component 'PlayerManager': Ref named 'networker': has missing value or not found
16:52:40 : DEBUG | In component 'PlayerManager': Ref named 'Score': has missing value or not found
16:52:40 : DEBUG | In component 'PlayerManager': Ref named 'Lifes': has missing value or not found
16:52:40 : DEBUG | In component 'PlayerAnimator': Ref named 'Weapon': has missing value or not found
16:52:40 : DEBUG | Spawning player with id : 5febfbcb9f
16:52:40 : DEBUG | In component 'PlayerManager': Ref named 'manager': has missing value or not found
16:52:40 : DEBUG | In component 'PlayerManager': Ref named 'networker': has missing value or not found
16:52:40 : DEBUG | In component 'PlayerManager': Ref named 'Score': has missing value or not found
16:52:40 : DEBUG | In component 'PlayerManager': Ref named 'Lifes': has missing value or not found
16:52:40 : DEBUG | In component 'PlayerAnimator': Ref named 'Weapon': has missing value or not found
16:52:40 : DEBUG | Spawning player with id : 599b44d3f2 which is self
16:52:40 : DEBUG | In component 'PlayerShooterIM': Ref named 'gameManager': has missing value or not found
16:52:40 : DEBUG | In component 'PlayerManager': Ref named 'manager': has missing value or not found
16:52:40 : DEBUG | In component 'PlayerManager': Ref named 'networker': has missing value or not found
16:52:40 : DEBUG | In component 'PlayerManager': Ref named 'Score': has missing value or not found
16:52:40 : DEBUG | In component 'PlayerManager': Ref named 'Lifes': has missing value or not found
16:52:40 : DEBUG | In component 'PlayerAnimator': Ref named 'Engine': has missing value or not found
16:52:40 : DEBUG | In component 'PlayerAnimator': Ref named 'Weapon': has missing value or not found
16:52:40 : DEBUG | In component 'PlayerMoverIM': Ref named 'gameManager': has missing value or not found
16:52:40 : DEBUG | Spawning player with id : 599b44d3f2 which is self
16:52:40 : DEBUG | In component 'PlayerShooterIM': Ref named 'gameManager': has missing value or not found
16:52:40 : DEBUG | In component 'PlayerManager': Ref named 'manager': has missing value or not found
16:52:40 : DEBUG | In component 'PlayerManager': Ref named 'networker': has missing value or not found
16:52:40 : DEBUG | In component 'PlayerManager': Ref named 'Score': has missing value or not found
16:52:40 : DEBUG | In component 'PlayerManager': Ref named 'Lifes': has missing value or not found
16:52:40 : DEBUG | In component 'PlayerAnimator': Ref named 'Engine': has missing value or not found
16:52:40 : DEBUG | In component 'PlayerAnimator': Ref named 'Weapon': has missing value or not found
16:52:40 : DEBUG | In component 'PlayerMoverIM': Ref named 'gameManager': has missing value or not found
16:52:40 : MAJOR | No animation to start
16:52:40 : MAJOR | No animation to start
16:52:42 : MAJOR | [Polymorph Engine] Object reference not set to an instance: this maybe occurs because you need to set a reference in configuration or in interface.
16:52:42 : MAJOR | [Polymorph Engine] Object reference not set to an instance: this maybe occurs because you need to set a reference in configuration or in interface.
16:52:45 : DEBUG | In component 'MobNM': Ref named 'manager': has missing value or not found
16:52:45 : DEBUG | Spawning mob with id : 14ce0711ee
16:52:45 : DEBUG | In component 'MobNM': Ref named 'manager': has missing value or not found
16:52:45 : DEBUG | Spawning mob with id : 14ce0711ee
16:52:47 : DEBUG | In component 'ProjectileNM': Ref named 'networkManager': has missing value or not found
16:52:47 : DEBUG | Spawning projectile with id : 9ff10df0bd
16:52:47 : DEBUG | In component 'ProjectileNM': Ref named 'networkManager': has missing value or not found
16:52:47 : DEBUG | Spawning projectile with id : 9ff10df0bd
16:52:47 : DEBUG | In component 'ProjectileNM': Ref named 'networkManager': has missing value or not found
16:52:47 : DEBUG | Spawning projectile with id : b3c1d267e3
16:52:47 : DEBUG | In component 'ProjectileNM': Ref named 'networkManager': has missing value or not found
16:52:47 : DEBUG | Spawning projectile with id : b3c1d267e3
16:52:49 : DEBUG | In component 'ProjectileNM': Ref named 'networkManager': has missing value or not found
16:52:49 : DEBUG | Spawning projectile with id : e6ed592624
16:52:49 : DEBUG | In component 'ProjectileNM': Ref named 'networkManager': has missing value or not found
16:52:49 : DEBUG | Spawning projectile with id : e6ed592624
16:52:49 : DEBUG | In component 'ProjectileNM': Ref named 'networkManager': has missing value or not found
16:52:49 : DEBUG | Spawning projectile with id : 0f5596b74d
16:52:49 : DEBUG | In component 'ProjectileNM': Ref named 'networkManager': has missing value or not found
16:52:49 : DEBUG | Spawning projectile with id : 0f5596b74d
16:52:49 : DEBUG | In component 'ProjectileNM': Ref named 'networkManager': has missing value or not found
16:52:49 : DEBUG | Spawning projectile with id : 4b2f7adb61
