16:55:31 : DEBUG | Received self id : f5fa3648bc
16:55:31 : DEBUG | Spawning player with id : 9964a0a7cc
16:55:31 : DEBUG | In component 'PlayerManager': Ref named 'manager': has missing value or not found
16:55:31 : DEBUG | In component 'PlayerManager': Ref named 'networker': has missing value or not found
16:55:31 : DEBUG | In component 'PlayerManager': Ref named 'Score': has missing value or not found
16:55:31 : DEBUG | In component 'PlayerManager': Ref named 'Lifes': has missing value or not found
16:55:31 : DEBUG | In component 'PlayerAnimator': Ref named 'Weapon': has missing value or not found
16:55:31 : DEBUG | Spawning player with id : 9964a0a7cc
16:55:31 : DEBUG | In component 'PlayerManager': Ref named 'manager': has missing value or not found
16:55:31 : DEBUG | In component 'PlayerManager': Ref named 'networker': has missing value or not found
16:55:31 : DEBUG | In component 'PlayerManager': Ref named 'Score': has missing value or not found
16:55:31 : DEBUG | In component 'PlayerManager': Ref named 'Lifes': has missing value or not found
16:55:31 : DEBUG | In component 'PlayerAnimator': Ref named 'Weapon': has missing value or not found
16:55:31 : DEBUG | Spawning player with id : f5fa3648bc which is self
16:55:31 : DEBUG | In component 'PlayerShooterIM': Ref named 'gameManager': has missing value or not found
16:55:31 : DEBUG | In component 'PlayerManager': Ref named 'manager': has missing value or not found
16:55:31 : DEBUG | In component 'PlayerManager': Ref named 'networker': has missing value or not found
16:55:31 : DEBUG | In component 'PlayerManager': Ref named 'Score': has missing value or not found
16:55:31 : DEBUG | In component 'PlayerManager': Ref named 'Lifes': has missing value or not found
16:55:31 : DEBUG | In component 'PlayerAnimator': Ref named 'Engine': has missing value or not found
16:55:31 : DEBUG | In component 'PlayerAnimator': Ref named 'Weapon': has missing value or not found
16:55:31 : DEBUG | In component 'PlayerMoverIM': Ref named 'gameManager': has missing value or not found
16:55:31 : DEBUG | Spawning player with id : f5fa3648bc which is self
16:55:31 : DEBUG | In component 'PlayerShooterIM': Ref named 'gameManager': has missing value or not found
16:55:31 : DEBUG | In component 'PlayerManager': Ref named 'manager': has missing value or not found
16:55:31 : DEBUG | In component 'PlayerManager': Ref named 'networker': has missing value or not found
16:55:31 : DEBUG | In component 'PlayerManager': Ref named 'Score': has missing value or not found
16:55:31 : DEBUG | In component 'PlayerManager': Ref named 'Lifes': has missing value or not found
16:55:31 : DEBUG | In component 'PlayerAnimator': Ref named 'Engine': has missing value or not found
16:55:31 : DEBUG | In component 'PlayerAnimator': Ref named 'Weapon': has missing value or not found
16:55:31 : DEBUG | In component 'PlayerMoverIM': Ref named 'gameManager': has missing value or not found
16:55:31 : MAJOR | No animation to start
16:55:31 : MAJOR | No animation to start
16:55:34 : DEBUG | In component 'ProjectileNM': Ref named 'networkManager': has missing value or not found
16:55:34 : DEBUG | Spawning projectile with id : ceef8d01c3
16:55:34 : DEBUG | In component 'ProjectileNM': Ref named 'networkManager': has missing value or not found
