17:08:02 : DEBUG | Received self id : fa1559355c
17:08:02 : DEBUG | Spawning player with id : 2da0bba668
17:08:02 : DEBUG | In component 'PlayerManager': Ref named 'manager': has missing value or not found
17:08:02 : DEBUG | In component 'PlayerManager': Ref named 'networker': has missing value or not found
17:08:02 : DEBUG | In component 'PlayerManager': Ref named 'Score': has missing value or not found
17:08:02 : DEBUG | In component 'PlayerManager': Ref named 'Lifes': has missing value or not found
17:08:02 : DEBUG | In component 'PlayerAnimator': Ref named 'Weapon': has missing value or not found
17:08:02 : DEBUG | Spawning player with id : 2da0bba668
17:08:02 : DEBUG | In component 'PlayerManager': Ref named 'manager': has missing value or not found
17:08:02 : DEBUG | In component 'PlayerManager': Ref named 'networker': has missing value or not found
17:08:02 : DEBUG | In component 'PlayerManager': Ref named 'Score': has missing value or not found
17:08:02 : DEBUG | In component 'PlayerManager': Ref named 'Lifes': has missing value or not found
17:08:02 : DEBUG | In component 'PlayerAnimator': Ref named 'Weapon': has missing value or not found
17:08:02 : DEBUG | Spawning player with id : fa1559355c which is self
17:08:02 : DEBUG | In component 'PlayerShooterIM': Ref named 'gameManager': has missing value or not found
17:08:02 : DEBUG | In component 'PlayerManager': Ref named 'manager': has missing value or not found
17:08:02 : DEBUG | In component 'PlayerManager': Ref named 'networker': has missing value or not found
17:08:02 : DEBUG | In component 'PlayerManager': Ref named 'Score': has missing value or not found
17:08:02 : DEBUG | In component 'PlayerManager': Ref named 'Lifes': has missing value or not found
17:08:02 : DEBUG | In component 'PlayerAnimator': Ref named 'Engine': has missing value or not found
17:08:02 : DEBUG | In component 'PlayerAnimator': Ref named 'Weapon': has missing value or not found
17:08:02 : DEBUG | In component 'PlayerMoverIM': Ref named 'gameManager': has missing value or not found
17:08:02 : DEBUG | Spawning player with id : fa1559355c which is self
17:08:02 : DEBUG | In component 'PlayerShooterIM': Ref named 'gameManager': has missing value or not found
17:08:02 : DEBUG | In component 'PlayerManager': Ref named 'manager': has missing value or not found
17:08:02 : DEBUG | In component 'PlayerManager': Ref named 'networker': has missing value or not found
17:08:02 : DEBUG | In component 'PlayerManager': Ref named 'Score': has missing value or not found
17:08:02 : DEBUG | In component 'PlayerManager': Ref named 'Lifes': has missing value or not found
17:08:02 : DEBUG | In component 'PlayerAnimator': Ref named 'Engine': has missing value or not found
17:08:02 : DEBUG | In component 'PlayerAnimator': Ref named 'Weapon': has missing value or not found
17:08:02 : DEBUG | In component 'PlayerMoverIM': Ref named 'gameManager': has missing value or not found
17:08:02 : MAJOR | No animation to start
17:08:02 : MAJOR | No animation to start
17:08:07 : DEBUG | In component 'MobNM': Ref named 'manager': has missing value or not found
17:08:07 : DEBUG | Spawning mob with id : d5c77995a1
17:08:07 : DEBUG | In component 'MobNM': Ref named 'manager': has missing value or not found
17:08:07 : DEBUG | Spawning mob with id : d5c77995a1
17:08:12 : DEBUG | In component 'ProjectileNM': Ref named 'networkManager': has missing value or not found
17:08:12 : DEBUG | Spawning projectile with id : 393cd7b2fc
17:08:12 : DEBUG | In component 'ProjectileNM': Ref named 'networkManager': has missing value or not found
17:08:12 : DEBUG | Spawning projectile with id : 393cd7b2fc
17:08:13 : DEBUG | In component 'ProjectileNM': Ref named 'networkManager': has missing value or not found
17:08:13 : DEBUG | Spawning projectile with id : 98d731995e
17:08:13 : DEBUG | In component 'ProjectileNM': Ref named 'networkManager': has missing value or not found
17:08:13 : DEBUG | Spawning projectile with id : 98d731995e
17:08:15 : DEBUG | In component 'ProjectileNM': Ref named 'networkManager': has missing value or not found
17:08:15 : DEBUG | Spawning projectile with id : bd87155f2f
17:08:15 : DEBUG | In component 'ProjectileNM': Ref named 'networkManager': has missing value or not found
17:08:15 : DEBUG | Spawning projectile with id : bd87155f2f
17:08:15 : DEBUG | In component 'ProjectileNM': Ref named 'networkManager': has missing value or not found
17:08:15 : DEBUG | Spawning projectile with id : f823827781
17:08:15 : DEBUG | In component 'ProjectileNM': Ref named 'networkManager': has missing value or not found
17:08:15 : DEBUG | Spawning projectile with id : f823827781
17:08:16 : DEBUG | In component 'ProjectileNM': Ref named 'networkManager': has missing value or not found
17:08:16 : DEBUG | Spawning projectile with id : d3032efd50
17:08:16 : DEBUG | In component 'ProjectileNM': Ref named 'networkManager': has missing value or not found
17:08:16 : DEBUG | Spawning projectile with id : d3032efd50
