17:25:19 : DEBUG | Received self id : 1663c88f79
17:25:19 : MAJOR | Spawning player with id : 61e157b406, with NB: 1
17:25:19 : DEBUG | In component 'PlayerManager': Ref named 'manager': has missing value or not found
17:25:19 : DEBUG | In component 'PlayerManager': Ref named 'networker': has missing value or not found
17:25:19 : DEBUG | In component 'PlayerManager': Ref named 'Score': has missing value or not found
17:25:19 : DEBUG | In component 'PlayerManager': Ref named 'Lifes': has missing value or not found
17:25:19 : DEBUG | In component 'PlayerAnimator': Ref named 'Weapon': has missing value or not found
17:25:19 : MAJOR | Spawning player with id : 61e157b406, with NB: 1
17:25:19 : DEBUG | In component 'PlayerManager': Ref named 'manager': has missing value or not found
17:25:19 : DEBUG | In component 'PlayerManager': Ref named 'networker': has missing value or not found
17:25:19 : DEBUG | In component 'PlayerManager': Ref named 'Score': has missing value or not found
17:25:19 : DEBUG | In component 'PlayerManager': Ref named 'Lifes': has missing value or not found
17:25:19 : DEBUG | In component 'PlayerAnimator': Ref named 'Weapon': has missing value or not found
17:25:19 : MAJOR | Spawning player with id : 1663c88f79 which is self, with NB: 2
17:25:19 : DEBUG | In component 'PlayerShooterIM': Ref named 'gameManager': has missing value or not found
17:25:19 : DEBUG | In component 'PlayerManager': Ref named 'manager': has missing value or not found
17:25:19 : DEBUG | In component 'PlayerManager': Ref named 'networker': has missing value or not found
17:25:19 : DEBUG | In component 'PlayerManager': Ref named 'Score': has missing value or not found
17:25:19 : DEBUG | In component 'PlayerManager': Ref named 'Lifes': has missing value or not found
17:25:19 : DEBUG | In component 'PlayerAnimator': Ref named 'Engine': has missing value or not found
17:25:19 : DEBUG | In component 'PlayerAnimator': Ref named 'Weapon': has missing value or not found
17:25:19 : DEBUG | In component 'PlayerMoverIM': Ref named 'gameManager': has missing value or not found
17:25:19 : MAJOR | Spawning player with id : 1663c88f79 which is self, with NB: 2
17:25:19 : DEBUG | In component 'PlayerShooterIM': Ref named 'gameManager': has missing value or not found
17:25:19 : DEBUG | In component 'PlayerManager': Ref named 'manager': has missing value or not found
17:25:19 : DEBUG | In component 'PlayerManager': Ref named 'networker': has missing value or not found
17:25:19 : DEBUG | In component 'PlayerManager': Ref named 'Score': has missing value or not found
17:25:19 : DEBUG | In component 'PlayerManager': Ref named 'Lifes': has missing value or not found
17:25:19 : DEBUG | In component 'PlayerAnimator': Ref named 'Engine': has missing value or not found
17:25:19 : DEBUG | In component 'PlayerAnimator': Ref named 'Weapon': has missing value or not found
17:25:19 : DEBUG | In component 'PlayerMoverIM': Ref named 'gameManager': has missing value or not found
17:25:19 : MAJOR | No animation to start for entity named: OPlayerPrefab1
17:25:19 : MAJOR | No animation to start for entity named: OPlayerPrefab1
17:25:24 : DEBUG | In component 'ProjectileNM': Ref named 'networkManager': has missing value or not found
17:25:24 : DEBUG | Spawning projectile with id : 7349ae8dcc
17:25:24 : DEBUG | In component 'ProjectileNM': Ref named 'networkManager': has missing value or not found
17:25:24 : DEBUG | Spawning projectile with id : 7349ae8dcc
17:25:24 : DEBUG | In component 'MobNM': Ref named 'manager': has missing value or not found
17:25:24 : DEBUG | Spawning mob with id : a45a92cabd
17:25:24 : DEBUG | In component 'MobNM': Ref named 'manager': has missing value or not found
17:25:24 : DEBUG | Spawning mob with id : a45a92cabd
17:25:26 : DEBUG | In component 'ProjectileNM': Ref named 'networkManager': has missing value or not found
17:25:26 : DEBUG | Spawning projectile with id : a6b3487487
17:25:26 : DEBUG | In component 'ProjectileNM': Ref named 'networkManager': has missing value or not found
17:25:26 : DEBUG | Spawning projectile with id : a6b3487487
