17:32:06 : DEBUG | Received self id : 9d79e15329
17:32:06 : MAJOR | Spawning player with id : 7efabf77a0, with NB: 1
17:32:06 : DEBUG | In component 'PlayerManager': Ref named 'manager': has missing value or not found
17:32:06 : DEBUG | In component 'PlayerManager': Ref named 'networker': has missing value or not found
17:32:06 : DEBUG | In component 'PlayerManager': Ref named 'Score': has missing value or not found
17:32:06 : DEBUG | In component 'PlayerManager': Ref named 'Lifes': has missing value or not found
17:32:06 : DEBUG | In component 'PlayerAnimator': Ref named 'Weapon': has missing value or not found
17:32:06 : MAJOR | Spawning player with id : 7efabf77a0, with NB: 1
17:32:06 : DEBUG | In component 'PlayerManager': Ref named 'manager': has missing value or not found
17:32:06 : DEBUG | In component 'PlayerManager': Ref named 'networker': has missing value or not found
17:32:06 : DEBUG | In component 'PlayerManager': Ref named 'Score': has missing value or not found
17:32:06 : DEBUG | In component 'PlayerManager': Ref named 'Lifes': has missing value or not found
17:32:06 : DEBUG | In component 'PlayerAnimator': Ref named 'Weapon': has missing value or not found
17:32:06 : MAJOR | Spawning player with id : 9d79e15329 which is self, with NB: 2
17:32:06 : DEBUG | In component 'PlayerShooterIM': Ref named 'gameManager': has missing value or not found
17:32:06 : DEBUG | In component 'PlayerManager': Ref named 'manager': has missing value or not found
17:32:06 : DEBUG | In component 'PlayerManager': Ref named 'networker': has missing value or not found
17:32:06 : DEBUG | In component 'PlayerManager': Ref named 'Score': has missing value or not found
17:32:06 : DEBUG | In component 'PlayerManager': Ref named 'Lifes': has missing value or not found
17:32:06 : DEBUG | In component 'PlayerAnimator': Ref named 'Engine': has missing value or not found
17:32:06 : DEBUG | In component 'PlayerAnimator': Ref named 'Weapon': has missing value or not found
17:32:06 : DEBUG | In component 'PlayerMoverIM': Ref named 'gameManager': has missing value or not found
17:32:06 : MAJOR | Spawning player with id : 9d79e15329 which is self, with NB: 2
17:32:06 : DEBUG | In component 'PlayerShooterIM': Ref named 'gameManager': has missing value or not found
17:32:06 : DEBUG | In component 'PlayerManager': Ref named 'manager': has missing value or not found
17:32:06 : DEBUG | In component 'PlayerManager': Ref named 'networker': has missing value or not found
17:32:06 : DEBUG | In component 'PlayerManager': Ref named 'Score': has missing value or not found
17:32:06 : DEBUG | In component 'PlayerManager': Ref named 'Lifes': has missing value or not found
17:32:06 : DEBUG | In component 'PlayerAnimator': Ref named 'Engine': has missing value or not found
17:32:06 : DEBUG | In component 'PlayerAnimator': Ref named 'Weapon': has missing value or not found
17:32:06 : DEBUG | In component 'PlayerMoverIM': Ref named 'gameManager': has missing value or not found
