17:37:39 : DEBUG | Received self id : f785b40129
17:37:39 : MAJOR | Spawning player with id : 3b3c9ca7ab, with NB: 1
17:37:39 : DEBUG | In component 'PlayerManager': Ref named 'manager': has missing value or not found
17:37:39 : DEBUG | In component 'PlayerManager': Ref named 'networker': has missing value or not found
17:37:39 : DEBUG | In component 'PlayerManager': Ref named 'Score': has missing value or not found
17:37:39 : DEBUG | In component 'PlayerManager': Ref named 'Lifes': has missing value or not found
17:37:39 : DEBUG | In component 'PlayerAnimator': Ref named 'Weapon': has missing value or not found
17:37:39 : MAJOR | Spawning player with id : 3b3c9ca7ab, with NB: 1
17:37:39 : DEBUG | In component 'PlayerManager': Ref named 'manager': has missing value or not found
17:37:39 : DEBUG | In component 'PlayerManager': Ref named 'networker': has missing value or not found
17:37:39 : DEBUG | In component 'PlayerManager': Ref named 'Score': has missing value or not found
17:37:39 : DEBUG | In component 'PlayerManager': Ref named 'Lifes': has missing value or not found
17:37:39 : DEBUG | In component 'PlayerAnimator': Ref named 'Weapon': has missing value or not found
17:37:39 : MAJOR | Spawning player with id : f785b40129 which is self, with NB: 2
17:37:39 : DEBUG | In component 'PlayerShooterIM': Ref named 'gameManager': has missing value or not found
17:37:39 : DEBUG | In component 'PlayerManager': Ref named 'manager': has missing value or not found
17:37:39 : DEBUG | In component 'PlayerManager': Ref named 'networker': has missing value or not found
17:37:39 : DEBUG | In component 'PlayerManager': Ref named 'Score': has missing value or not found
17:37:39 : DEBUG | In component 'PlayerManager': Ref named 'Lifes': has missing value or not found
17:37:39 : DEBUG | In component 'PlayerAnimator': Ref named 'Weapon': has missing value or not found
17:37:39 : DEBUG | In component 'PlayerMoverIM': Ref named 'gameManager': has missing value or not found
17:37:39 : MAJOR | Spawning player with id : f785b40129 which is self, with NB: 2
17:37:39 : DEBUG | In component 'PlayerShooterIM': Ref named 'gameManager': has missing value or not found
17:37:39 : DEBUG | In component 'PlayerManager': Ref named 'manager': has missing value or not found
17:37:39 : DEBUG | In component 'PlayerManager': Ref named 'networker': has missing value or not found
17:37:39 : DEBUG | In component 'PlayerManager': Ref named 'Score': has missing value or not found
17:37:39 : DEBUG | In component 'PlayerManager': Ref named 'Lifes': has missing value or not found
17:37:39 : DEBUG | In component 'PlayerAnimator': Ref named 'Weapon': has missing value or not found
17:37:39 : DEBUG | In component 'PlayerMoverIM': Ref named 'gameManager': has missing value or not found
17:37:42 : DEBUG | In component 'ProjectileNM': Ref named 'networkManager': has missing value or not found
17:37:42 : DEBUG | Spawning projectile with id : ae141f60cb
17:37:42 : DEBUG | In component 'ProjectileNM': Ref named 'networkManager': has missing value or not found
17:37:42 : DEBUG | Spawning projectile with id : ae141f60cb
17:37:45 : DEBUG | In component 'MobNM': Ref named 'manager': has missing value or not found
17:37:45 : DEBUG | Spawning mob with id : 3111768d81
17:37:45 : DEBUG | In component 'MobNM': Ref named 'manager': has missing value or not found
17:37:45 : DEBUG | Spawning mob with id : 3111768d81
17:37:45 : DEBUG | In component 'ProjectileNM': Ref named 'networkManager': has missing value or not found
17:37:45 : DEBUG | Spawning projectile with id : e91d4e26c4
17:37:45 : DEBUG | In component 'ProjectileNM': Ref named 'networkManager': has missing value or not found
17:37:45 : DEBUG | Spawning projectile with id : e91d4e26c4
