17:47:33 : DEBUG | Received self id : c57496b7f8
17:47:33 : MAJOR | Spawning player with id : 25009866da, with NB: 1
17:47:33 : DEBUG | In component 'PlayerManager': Ref named 'manager': has missing value or not found
17:47:33 : DEBUG | In component 'PlayerManager': Ref named 'networker': has missing value or not found
17:47:33 : DEBUG | In component 'PlayerManager': Ref named 'Score': has missing value or not found
17:47:33 : DEBUG | In component 'PlayerManager': Ref named 'Lifes': has missing value or not found
17:47:33 : DEBUG | In component 'PlayerAnimator': Ref named 'Weapon': has missing value or not found
17:47:33 : MAJOR | Spawning player with id : 25009866da, with NB: 1
17:47:33 : DEBUG | In component 'PlayerManager': Ref named 'manager': has missing value or not found
17:47:33 : DEBUG | In component 'PlayerManager': Ref named 'networker': has missing value or not found
17:47:33 : DEBUG | In component 'PlayerManager': Ref named 'Score': has missing value or not found
17:47:33 : DEBUG | In component 'PlayerManager': Ref named 'Lifes': has missing value or not found
17:47:33 : DEBUG | In component 'PlayerAnimator': Ref named 'Weapon': has missing value or not found
17:47:33 : MAJOR | Spawning player with id : c57496b7f8 which is self, with NB: 2
17:47:33 : DEBUG | In component 'PlayerShooterIM': Ref named 'gameManager': has missing value or not found
17:47:33 : DEBUG | In component 'PlayerManager': Ref named 'manager': has missing value or not found
17:47:33 : DEBUG | In component 'PlayerManager': Ref named 'networker': has missing value or not found
17:47:33 : DEBUG | In component 'PlayerManager': Ref named 'Score': has missing value or not found
17:47:33 : DEBUG | In component 'PlayerManager': Ref named 'Lifes': has missing value or not found
17:47:33 : DEBUG | In component 'PlayerAnimator': Ref named 'Weapon': has missing value or not found
17:47:33 : DEBUG | In component 'PlayerMoverIM': Ref named 'gameManager': has missing value or not found
17:47:33 : MAJOR | Spawning player with id : c57496b7f8 which is self, with NB: 2
17:47:33 : DEBUG | In component 'PlayerShooterIM': Ref named 'gameManager': has missing value or not found
17:47:33 : DEBUG | In component 'PlayerManager': Ref named 'manager': has missing value or not found
17:47:33 : DEBUG | In component 'PlayerManager': Ref named 'networker': has missing value or not found
17:47:33 : DEBUG | In component 'PlayerManager': Ref named 'Score': has missing value or not found
17:47:33 : DEBUG | In component 'PlayerManager': Ref named 'Lifes': has missing value or not found
17:47:33 : DEBUG | In component 'PlayerAnimator': Ref named 'Weapon': has missing value or not found
17:47:33 : DEBUG | In component 'PlayerMoverIM': Ref named 'gameManager': has missing value or not found
17:47:37 : DEBUG | In component 'ProjectileNM': Ref named 'networkManager': has missing value or not found
17:47:37 : DEBUG | Spawning projectile with id : 4291cc46bb
17:47:37 : DEBUG | In component 'ProjectileNM': Ref named 'networkManager': has missing value or not found
17:47:37 : DEBUG | Spawning projectile with id : 4291cc46bb
17:47:38 : DEBUG | In component 'MobNM': Ref named 'manager': has missing value or not found
17:47:38 : DEBUG | Spawning mob with id : 63c253ba76
17:47:38 : DEBUG | In component 'MobNM': Ref named 'manager': has missing value or not found
17:47:38 : DEBUG | Spawning mob with id : 63c253ba76
17:47:39 : DEBUG | In component 'ProjectileNM': Ref named 'networkManager': has missing value or not found
17:47:39 : DEBUG | Spawning projectile with id : 34c82136e5
17:47:39 : DEBUG | In component 'ProjectileNM': Ref named 'networkManager': has missing value or not found
17:47:39 : DEBUG | Spawning projectile with id : 34c82136e5
17:47:40 : DEBUG | In component 'ProjectileNM': Ref named 'networkManager': has missing value or not found
17:47:40 : DEBUG | Spawning projectile with id : d4ab0466b1
17:47:40 : DEBUG | In component 'ProjectileNM': Ref named 'networkManager': has missing value or not found
17:47:40 : DEBUG | Spawning projectile with id : d4ab0466b1
17:47:45 : DEBUG | In component 'ProjectileNM': Ref named 'networkManager': has missing value or not found
17:47:45 : DEBUG | Spawning projectile with id : c624c91c53
17:47:45 : DEBUG | In component 'ProjectileNM': Ref named 'networkManager': has missing value or not found
17:47:45 : DEBUG | Spawning projectile with id : c624c91c53
17:47:46 : DEBUG | In component 'ProjectileNM': Ref named 'networkManager': has missing value or not found
17:47:46 : DEBUG | Spawning projectile with id : efafd40c3f
17:47:46 : DEBUG | In component 'ProjectileNM': Ref named 'networkManager': has missing value or not found
17:47:46 : DEBUG | Spawning projectile with id : efafd40c3f
17:47:46 : DEBUG | In component 'ProjectileNM': Ref named 'networkManager': has missing value or not found
17:47:46 : DEBUG | Spawning projectile with id : d909bba830
17:47:46 : DEBUG | In component 'ProjectileNM': Ref named 'networkManager': has missing value or not found
17:47:46 : DEBUG | Spawning projectile with id : d909bba830
