17:55:47 : MAJOR | [Unknown Exception] : basic_string::_M_construct null not valid
17:55:47 : MAJOR | Spawning player with id : 340a2d144d, with NB: 1
17:55:47 : DEBUG | In component 'PlayerManager': Ref named 'manager': has missing value or not found
17:55:47 : DEBUG | In component 'PlayerManager': Ref named 'networker': has missing value or not found
17:55:47 : DEBUG | In component 'PlayerManager': Ref named 'Score': has missing value or not found
17:55:47 : DEBUG | In component 'PlayerManager': Ref named 'Lifes': has missing value or not found
17:55:47 : DEBUG | In component 'PlayerAnimator': Ref named 'Weapon': has missing value or not found
17:55:47 : MAJOR | Spawning player with id : 340a2d144d, with NB: 1
17:55:47 : DEBUG | In component 'PlayerManager': Ref named 'manager': has missing value or not found
17:55:47 : DEBUG | In component 'PlayerManager': Ref named 'networker': has missing value or not found
17:55:47 : DEBUG | In component 'PlayerManager': Ref named 'Score': has missing value or not found
17:55:47 : DEBUG | In component 'PlayerManager': Ref named 'Lifes': has missing value or not found
17:55:47 : DEBUG | In component 'PlayerAnimator': Ref named 'Weapon': has missing value or not found
17:55:47 : MAJOR | Spawning player with id : b0dd25ac18, with NB: 2
17:55:47 : DEBUG | In component 'PlayerManager': Ref named 'manager': has missing value or not found
17:55:47 : DEBUG | In component 'PlayerManager': Ref named 'networker': has missing value or not found
17:55:47 : DEBUG | In component 'PlayerManager': Ref named 'Score': has missing value or not found
17:55:47 : DEBUG | In component 'PlayerManager': Ref named 'Lifes': has missing value or not found
17:55:47 : DEBUG | In component 'PlayerAnimator': Ref named 'Weapon': has missing value or not found
17:55:47 : MAJOR | Spawning player with id : b0dd25ac18, with NB: 2
17:55:47 : DEBUG | In component 'PlayerManager': Ref named 'manager': has missing value or not found
17:55:47 : DEBUG | In component 'PlayerManager': Ref named 'networker': has missing value or not found
17:55:47 : DEBUG | In component 'PlayerManager': Ref named 'Score': has missing value or not found
17:55:47 : DEBUG | In component 'PlayerManager': Ref named 'Lifes': has missing value or not found
17:55:47 : DEBUG | In component 'PlayerAnimator': Ref named 'Weapon': has missing value or not found
