18:30:18 : MAJOR | Spawning player with id : 80d932161f, with NB: 1
18:30:18 : DEBUG | In component 'PlayerManager': Ref named 'manager': has missing value or not found
18:30:18 : DEBUG | In component 'PlayerManager': Ref named 'networker': has missing value or not found
18:30:18 : DEBUG | In component 'PlayerManager': Ref named 'Score': has missing value or not found
18:30:18 : DEBUG | In component 'PlayerManager': Ref named 'Lifes': has missing value or not found
18:30:18 : DEBUG | In component 'PlayerAnimator': Ref named 'Weapon': has missing value or not found
18:30:18 : MAJOR | Spawning player with id : 1cfb72dd0d, with NB: 2
18:30:18 : DEBUG | In component 'PlayerManager': Ref named 'manager': has missing value or not found
18:30:18 : DEBUG | In component 'PlayerManager': Ref named 'networker': has missing value or not found
18:30:18 : DEBUG | In component 'PlayerManager': Ref named 'Score': has missing value or not found
18:30:18 : DEBUG | In component 'PlayerManager': Ref named 'Lifes': has missing value or not found
18:30:18 : DEBUG | In component 'PlayerAnimator': Ref named 'Weapon': has missing value or not found
18:30:23 : DEBUG | In component 'MobNM': Ref named 'manager': has missing value or not found
18:30:23 : DEBUG | Spawning mob with id : 7153be2667
