18:33:42 : MAJOR | Spawning player with id : d96d2e371b, with NB: 1
18:33:42 : DEBUG | In component 'PlayerManager': Ref named 'manager': has missing value or not found
18:33:42 : DEBUG | In component 'PlayerManager': Ref named 'networker': has missing value or not found
18:33:42 : DEBUG | In component 'PlayerManager': Ref named 'Score': has missing value or not found
18:33:42 : DEBUG | In component 'PlayerManager': Ref named 'Lifes': has missing value or not found
18:33:42 : DEBUG | In component 'PlayerAnimator': Ref named 'Weapon': has missing value or not found
18:33:42 : MAJOR | Spawning player with id : 390ba81ba0, with NB: 2
18:33:42 : DEBUG | In component 'PlayerManager': Ref named 'manager': has missing value or not found
18:33:42 : DEBUG | In component 'PlayerManager': Ref named 'networker': has missing value or not found
18:33:42 : DEBUG | In component 'PlayerManager': Ref named 'Score': has missing value or not found
18:33:42 : DEBUG | In component 'PlayerManager': Ref named 'Lifes': has missing value or not found
18:33:42 : DEBUG | In component 'PlayerAnimator': Ref named 'Weapon': has missing value or not found
18:33:47 : DEBUG | In component 'MobNM': Ref named 'manager': has missing value or not found
18:33:47 : DEBUG | Spawning mob with id : 56ab8b93fa
